,Application Time,User Mark,Headset Position x,Headset Position y,Headset Position z,Headset Position error,Headset Orientation Quaternion x,Headset Orientation Quaternion y,Headset Orientation Quaternion z,Headset Orientation Quaternion w,Headset Orientation Quaternion error,Combined Gaze Ray pos x,Combined Gaze Ray pos y,Combined Gaze Ray pos z,Combined Gaze Ray dir x,Combined Gaze Ray dir y,Combined Gaze Ray dir z,Combined Gaze Ray error,Gaze Depth,Gaze Depth error,Eye Ray left pos x,Eye Ray left pos y,Eye Ray left pos z,Eye Ray left dir x,Eye Ray left dir y,Eye Ray left dir z,Eye Ray left error,Eye Ray right pos x,Eye Ray right pos y,Eye Ray right pos z,Eye Ray right dir x,Eye Ray right dir y,Eye Ray right dir z,Eye Ray right error,Eye State left,Eye State left error,Eye State right,Eye State right error,Pupil Radius (millimeters) left,Pupil Radius (millimeters) left error,Pupil Radius (millimeters) right,Pupil Radius (millimeters) right error,Gazed Object,Gazed Object error,Eye Torsion (degrees) left,Eye Torsion (degrees) left error,Eye Torsion (degrees) right,Eye Torsion (degrees) right error,User Presence,User Presence error,User Attention Shift,User Attention Shift error,IPD (millimeters),IPD (millimeters) error,IOD (millimeters),IOD (millimeters) error,Eyeball Radius (millimiters) left,Eyeball Radius (millimiters) left error,Eyeball Radius (millimiters) right,Eyeball Radius (millimiters) right error,Screen Gaze left x,Screen Gaze left y,Screen Gaze left error,Screen Gaze right x,Screen Gaze right y,Screen Gaze right error,Eye Shape left point 0 x,Eye Shape left point 0 y,Eye Shape left point 1 x,Eye Shape left point 1 y,Eye Shape left point 2 x,Eye Shape left point 2 y,Eye Shape left point 3 x,Eye Shape left point 3 y,Eye Shape left point 4 x,Eye Shape left point 4 y,Eye Shape left point 5 x,Eye Shape left point 5 y,Eye Shape left point 6 x,Eye Shape left point 6 y,Eye Shape left point 7 x,Eye Shape left point 7 y,Eye Shape left point 8 x,Eye Shape left point 8 y,Eye Shape left point 9 x,Eye Shape left point 9 y,Eye Shape left point 10 x,Eye Shape left point 10 y,Eye Shape left point 11 x,Eye Shape left point 11 y,Eye Shape left error,Eye Shape right point 0 x,Eye Shape right point 0 y,Eye Shape right point 1 x,Eye Shape right point 1 y,Eye Shape right point 2 x,Eye Shape right point 2 y,Eye Shape right point 3 x,Eye Shape right point 3 y,Eye Shape right point 4 x,Eye Shape right point 4 y,Eye Shape right point 5 x,Eye Shape right point 5 y,Eye Shape right point 6 x,Eye Shape right point 6 y,Eye Shape right point 7 x,Eye Shape right point 7 y,Eye Shape right point 8 x,Eye Shape right point 8 y,Eye Shape right point 9 x,Eye Shape right point 9 y,Eye Shape right point 10 x,Eye Shape right point 10 y,Eye Shape right point 11 x,Eye Shape right point 11 y,Eye Shape right error,Pupil Shape left center x,Pupil Shape left center y,Pupil Shape left size x,Pupil Shape left size y,Pupil Shape left angle (degrees),Pupil Shape left error,Pupil Shape right center x,Pupil Shape right center y,Pupil Shape right size x,Pupil Shape right size y,Pupil Shape right angle (degrees),Pupil Shape right error
,0.0205,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,0.00000,-4.06000,0.03713,-0.13930,0.98955,,2.75635,,-0.03150,0.00000,-4.06000,0.02513,-0.13512,0.99051,,0.03150,0.00000,-4.06000,0.04905,-0.14446,0.98829,,Opened,,Opened,,3.43,,3.28,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,66.23,,64.56,,11.28,,11.48,Data_Uncalibrated,0.02362,-0.12651,,0.05540,-0.13889,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,150.70,132.17,46.26,47.72,19.77,,166.21,148.59,42.95,47.48,156.64,
,0.0524,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,0.00000,-4.06000,-0.03316,-0.11624,0.99267,Data_Unreliable,2.03985,,-0.03150,0.00000,-4.06000,-0.05240,-0.12140,0.99122,,0.03150,0.00000,-4.06000,-0.01841,-0.10916,0.99385,,Opened,,Opened,,3.43,,3.31,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,66.15,,64.48,,11.28,,11.48,Data_Uncalibrated,-0.05339,-0.11557,,-0.01235,-0.10728,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,145.93,131.11,45.56,47.83,30.43,,160.84,146.95,43.55,46.98,160.52,
,0.0799,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,0.00000,-4.06000,-0.04300,-0.11360,0.99260,Data_Unreliable,1.76820,,-0.03150,0.00000,-4.06000,-0.05657,-0.12362,0.99072,,0.03150,0.00000,-4.06000,-0.02919,-0.10441,0.99411,,Opened,,Opened,,3.43,,3.28,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,66.10,,64.47,,11.28,,11.48,Data_Uncalibrated,-0.06047,-0.11657,,-0.02603,-0.10216,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,146.34,131.49,47.29,46.44,73.82,,161.02,147.27,43.37,46.48,166.73,
,0.0989,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,0.00000,-4.06000,-0.03950,-0.11399,0.99270,Data_Unreliable,2.21932,,-0.03150,0.00000,-4.06000,-0.05538,-0.12726,0.99032,,0.03150,0.00000,-4.06000,-0.02397,-0.10063,0.99463,,Opened,,Opened,,3.45,,3.29,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,66.17,,64.46,,11.28,,11.48,Data_Uncalibrated,-0.05883,-0.11971,,-0.02048,-0.09829,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,145.94,130.86,45.63,48.31,23.98,,161.04,147.04,43.67,46.46,167.33,
,0.1107,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,0.00000,-4.06000,-0.03950,-0.11399,0.99270,Data_Unreliable,2.21932,,-0.03150,0.00000,-4.06000,-0.05538,-0.12726,0.99032,,0.03150,0.00000,-4.06000,-0.02397,-0.10063,0.99463,,Opened,,Opened,,3.45,,3.29,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,66.17,,64.46,,11.28,,11.48,Data_Uncalibrated,-0.05883,-0.11971,,-0.02048,-0.09829,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,145.94,130.86,45.63,48.31,23.98,,161.04,147.04,43.67,46.46,167.33,
,0.1254,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,0.00000,-4.06000,-0.04028,-0.11343,0.99273,Data_Unreliable,2.24037,,-0.03150,0.00000,-4.06000,-0.05468,-0.12719,0.99037,,0.03150,0.00000,-4.06000,-0.02608,-0.09942,0.99470,,Opened,,Opened,,3.43,,3.31,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,66.18,,64.47,,11.28,,11.48,Data_Uncalibrated,-0.05860,-0.11891,,-0.02237,-0.09621,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,145.82,131.01,45.65,47.87,22.48,,160.97,146.84,43.82,46.61,161.51,
,0.1478,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,0.00000,-4.06000,-0.04019,-0.11346,0.99273,,2.18953,,-0.03150,0.00000,-4.06000,-0.05404,-0.12742,0.99038,,0.03150,0.00000,-4.06000,-0.02619,-0.09942,0.99470,,Opened,,Opened,,3.44,,3.31,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,66.17,,64.48,,11.28,,11.48,Data_Uncalibrated,-0.05749,-0.11925,,-0.02283,-0.09604,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,145.77,130.84,46.16,47.38,35.80,,160.89,146.92,43.76,46.80,160.21,
,0.1529,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,0.00000,-4.06000,-0.04019,-0.11346,0.99273,,2.15947,,-0.03150,0.00000,-4.06000,-0.05404,-0.12739,0.99038,,0.03150,0.00000,-4.06000,-0.02619,-0.09942,0.99470,,Opened,,Opened,,3.42,,3.32,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,66.17,,64.49,,11.28,,11.48,Data_Uncalibrated,-0.05752,-0.11919,,-0.02283,-0.09603,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,145.81,130.89,45.78,47.40,28.39,,160.91,146.85,43.82,46.88,162.84,
,0.1748,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,0.00000,-4.06000,-0.04019,-0.11341,0.99274,,1.79018,,-0.03150,0.00000,-4.06000,-0.05405,-0.12714,0.99041,,0.03150,0.00000,-4.06000,-0.02619,-0.09942,0.99470,,Opened,,Opened,,3.45,,3.31,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,66.10,,64.50,,11.28,,11.48,Data_Uncalibrated,-0.05759,-0.11886,,-0.02285,-0.09603,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,146.12,131.25,47.50,46.61,74.19,,160.91,146.85,43.82,46.88,162.84,
,0.1837,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,0.00000,-4.06000,-0.04019,-0.11340,0.99274,,2.25370,,-0.03150,0.00000,-4.06000,-0.05405,-0.12705,0.99042,,0.03150,0.00000,-4.06000,-0.02620,-0.09943,0.99470,,Opened,,Opened,,3.44,,3.32,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,66.18,,64.50,,11.28,,11.48,Data_Uncalibrated,-0.05761,-0.11874,,-0.02286,-0.09603,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,145.77,130.84,46.16,47.38,35.80,,160.94,146.89,43.80,46.99,161.85,
