,Application Time,User Mark,Headset Position x,Headset Position y,Headset Position z,Headset Position error,Headset Orientation Quaternion x,Headset Orientation Quaternion y,Headset Orientation Quaternion z,Headset Orientation Quaternion w,Headset Orientation Quaternion error,Combined Gaze Ray pos x,Combined Gaze Ray pos y,Combined Gaze Ray pos z,Combined Gaze Ray dir x,Combined Gaze Ray dir y,Combined Gaze Ray dir z,Combined Gaze Ray error,Gaze Depth,Gaze Depth error,Eye Ray left pos x,Eye Ray left pos y,Eye Ray left pos z,Eye Ray left dir x,Eye Ray left dir y,Eye Ray left dir z,Eye Ray left error,Eye Ray right pos x,Eye Ray right pos y,Eye Ray right pos z,Eye Ray right dir x,Eye Ray right dir y,Eye Ray right dir z,Eye Ray right error,Eye State left,Eye State left error,Eye State right,Eye State right error,Pupil Radius (millimeters) left,Pupil Radius (millimeters) left error,Pupil Radius (millimeters) right,Pupil Radius (millimeters) right error,Gazed Object,Gazed Object error,Eye Torsion (degrees) left,Eye Torsion (degrees) left error,Eye Torsion (degrees) right,Eye Torsion (degrees) right error,User Presence,User Presence error,User Attention Shift,User Attention Shift error,IPD (millimeters),IPD (millimeters) error,IOD (millimeters),IOD (millimeters) error,Eyeball Radius (millimiters) left,Eyeball Radius (millimiters) left error,Eyeball Radius (millimiters) right,Eyeball Radius (millimiters) right error,Screen Gaze left x,Screen Gaze left y,Screen Gaze left error,Screen Gaze right x,Screen Gaze right y,Screen Gaze right error,Eye Shape left point 0 x,Eye Shape left point 0 y,Eye Shape left point 1 x,Eye Shape left point 1 y,Eye Shape left point 2 x,Eye Shape left point 2 y,Eye Shape left point 3 x,Eye Shape left point 3 y,Eye Shape left point 4 x,Eye Shape left point 4 y,Eye Shape left point 5 x,Eye Shape left point 5 y,Eye Shape left point 6 x,Eye Shape left point 6 y,Eye Shape left point 7 x,Eye Shape left point 7 y,Eye Shape left point 8 x,Eye Shape left point 8 y,Eye Shape left point 9 x,Eye Shape left point 9 y,Eye Shape left point 10 x,Eye Shape left point 10 y,Eye Shape left point 11 x,Eye Shape left point 11 y,Eye Shape left error,Eye Shape right point 0 x,Eye Shape right point 0 y,Eye Shape right point 1 x,Eye Shape right point 1 y,Eye Shape right point 2 x,Eye Shape right point 2 y,Eye Shape right point 3 x,Eye Shape right point 3 y,Eye Shape right point 4 x,Eye Shape right point 4 y,Eye Shape right point 5 x,Eye Shape right point 5 y,Eye Shape right point 6 x,Eye Shape right point 6 y,Eye Shape right point 7 x,Eye Shape right point 7 y,Eye Shape right point 8 x,Eye Shape right point 8 y,Eye Shape right point 9 x,Eye Shape right point 9 y,Eye Shape right point 10 x,Eye Shape right point 10 y,Eye Shape right point 11 x,Eye Shape right point 11 y,Eye Shape right error,Pupil Shape left center x,Pupil Shape left center y,Pupil Shape left size x,Pupil Shape left size y,Pupil Shape left angle (degrees),Pupil Shape left error,Pupil Shape right center x,Pupil Shape right center y,Pupil Shape right size x,Pupil Shape right size y,Pupil Shape right angle (degrees),Pupil Shape right error
,0.0200,,-0.00051,-0.55175,-1.45232,,0.04819,0.00763,-0.00763,0.99878,,-0.00051,-0.55175,-5.51232,0.33062,-0.18160,0.92613,,3.41798,,-0.03200,-0.55129,-5.51181,0.30940,-0.20938,0.92759,,0.03098,-0.55221,-5.51282,0.35098,-0.15708,0.92311,,Opened,,Opened,,3.19,,3.03,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,66.40,,64.98,,11.21,,11.42,,0.32480,-0.11186,,0.37855,-0.06750,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,167.96,127.40,40.62,44.32,155.13,,184.92,146.80,36.06,44.78,149.32,
,0.0409,,-0.00043,-0.55203,-1.45224,,0.04750,0.00725,-0.00748,0.99882,,-0.00043,-0.55203,-5.51224,0.21747,-0.16064,0.96276,,111.05400,,-0.03192,-0.55158,-5.51176,0.19951,-0.17714,0.96375,,0.03106,-0.55248,-5.51272,0.23530,-0.14405,0.96119,,Opened,,Opened,,3.16,,3.02,,endpoint,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,1,,66.59,,65.01,,11.21,,11.42,,0.19335,-0.07522,,0.24017,-0.04790,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,160.14,125.84,41.38,43.11,141.23,,178.22,144.46,37.47,43.62,135.34,
,0.0739,,-0.00049,-0.55239,-1.45108,,0.04657,0.00669,-0.00729,0.99887,,-0.00049,-0.55239,-5.51108,0.10356,-0.11243,0.98825,,1.81048,,-0.03198,-0.55195,-5.51064,0.08317,-0.10698,0.99078,,0.03101,-0.55283,-5.51153,0.11527,-0.11939,0.98613,,Opened,,Opened,,3.25,,2.99,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,1,,66.23,,64.85,,11.21,,11.42,,0.07369,-0.01355,,0.11478,-0.02805,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,153.65,124.58,43.08,42.95,93.04,,169.22,141.95,38.16,42.17,149.02,
,0.0862,,-0.00099,-0.55251,-1.45061,,0.04619,0.00655,-0.00739,0.99888,,-0.00099,-0.55251,-5.51061,0.09839,-0.11349,0.98865,,1.96982,,-0.03248,-0.55206,-5.51017,0.07589,-0.11128,0.99089,,0.03051,-0.55295,-5.51104,0.11390,-0.11836,0.98642,,Opened,,Opened,,3.26,,3.00,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,66.26,,64.80,,11.21,,11.42,,0.06629,-0.01813,,0.11300,-0.02776,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,153.47,124.75,43.52,43.07,91.31,,169.21,141.98,37.82,42.77,142.18,
,0.1004,,-0.00114,-0.55247,-1.45045,,0.04621,0.00664,-0.00754,0.99888,,-0.00114,-0.55247,-5.51045,0.09329,-0.11054,0.98948,,2.36119,,-0.03264,-0.55202,-5.51001,0.06889,-0.10336,0.99226,,0.03035,-0.55293,-5.51088,0.11268,-0.11807,0.98659,,Opened,,Opened,,3.23,,3.00,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,66.31,,64.74,,11.21,,11.42,,0.05917,-0.01282,,0.11105,-0.02766,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,153.22,124.05,42.67,42.54,91.01,,169.31,142.07,38.04,42.58,147.28,
,0.1211,,-0.00123,-0.55252,-1.45028,,0.04629,0.00682,-0.00774,0.99887,,-0.00123,-0.55252,-5.51028,0.09216,-0.11031,0.98962,,2.68101,,-0.03273,-0.55205,-5.50983,0.06787,-0.10312,0.99235,,0.03026,-0.55298,-5.51074,0.11254,-0.11801,0.98661,,Opened,,Opened,,3.23,,3.00,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,66.35,,64.72,,11.21,,11.42,,0.05770,-0.01259,,0.11055,-0.02755,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,153.19,124.20,42.79,42.56,90.82,,169.49,142.01,38.00,42.58,144.60,
,0.1295,,-0.00139,-0.55234,-1.45022,,0.04643,0.00708,-0.00797,0.99886,,-0.00139,-0.55234,-5.51022,0.08948,-0.11076,0.98981,,3.09095,,-0.03289,-0.55186,-5.50975,0.06481,-0.10340,0.99253,,0.03010,-0.55282,-5.51068,0.11167,-0.11843,0.98666,,Opened,,Opened,,3.22,,3.00,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,66.38,,64.70,,11.21,,11.42,,0.05435,-0.01293,,0.10924,-0.02801,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,153.04,124.14,42.69,42.34,90.38,,169.54,142.04,38.07,42.53,143.74,
,0.1422,,-0.00152,-0.55211,-1.45014,,0.04665,0.00743,-0.00823,0.99885,,-0.00152,-0.55211,-5.51014,0.08880,-0.11003,0.98995,,2.65751,,-0.03301,-0.55161,-5.50965,0.06439,-0.10054,0.99285,,0.02997,-0.55260,-5.51063,0.11144,-0.11871,0.98666,,Opened,,Opened,,3.22,,2.98,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,66.35,,64.70,,11.21,,11.42,,0.05336,-0.01101,,0.10846,-0.02813,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,153.18,123.82,41.83,43.03,64.16,,169.50,142.21,37.88,42.26,142.41,
,0.1560,,-0.00161,-0.55191,-1.45012,,0.04693,0.00779,-0.00846,0.99883,,-0.00161,-0.55191,-5.51012,0.08832,-0.10991,0.99001,,2.55341,,-0.03311,-0.55140,-5.50961,0.06390,-0.09951,0.99298,,0.02988,-0.55242,-5.51064,0.11138,-0.11914,0.98661,,Opened,,Opened,,3.22,,3.01,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,66.33,,64.70,,11.21,,11.42,,0.05219,-0.01009,,0.10786,-0.02829,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,153.17,123.88,41.93,43.01,61.22,,169.44,142.03,38.38,42.51,145.74,
,0.1707,,-0.00167,-0.55169,-1.45036,,0.04722,0.00821,-0.00867,0.99881,,-0.00167,-0.55169,-5.51036,0.08818,-0.11006,0.99001,,2.81594,,-0.03316,-0.55117,-5.50981,0.06379,-0.09968,0.99297,,0.02982,-0.55221,-5.51090,0.11146,-0.11947,0.98656,,Opened,,Opened,,3.21,,3.00,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,66.36,,64.69,,11.21,,11.42,,0.05138,-0.00981,,0.10740,-0.02830,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,152.88,123.68,41.94,42.78,56.32,,169.24,141.79,38.09,42.42,141.38,
