,Application Time,User Mark,Headset Position x,Headset Position y,Headset Position z,Headset Position error,Headset Orientation Quaternion x,Headset Orientation Quaternion y,Headset Orientation Quaternion z,Headset Orientation Quaternion w,Headset Orientation Quaternion error,Combined Gaze Ray pos x,Combined Gaze Ray pos y,Combined Gaze Ray pos z,Combined Gaze Ray dir x,Combined Gaze Ray dir y,Combined Gaze Ray dir z,Combined Gaze Ray error,Gaze Depth,Gaze Depth error,Eye Ray left pos x,Eye Ray left pos y,Eye Ray left pos z,Eye Ray left dir x,Eye Ray left dir y,Eye Ray left dir z,Eye Ray left error,Eye Ray right pos x,Eye Ray right pos y,Eye Ray right pos z,Eye Ray right dir x,Eye Ray right dir y,Eye Ray right dir z,Eye Ray right error,Eye State left,Eye State left error,Eye State right,Eye State right error,Pupil Radius (millimeters) left,Pupil Radius (millimeters) left error,Pupil Radius (millimeters) right,Pupil Radius (millimeters) right error,Gazed Object,Gazed Object error,Eye Torsion (degrees) left,Eye Torsion (degrees) left error,Eye Torsion (degrees) right,Eye Torsion (degrees) right error,User Presence,User Presence error,User Attention Shift,User Attention Shift error,IPD (millimeters),IPD (millimeters) error,IOD (millimeters),IOD (millimeters) error,Eyeball Radius (millimiters) left,Eyeball Radius (millimiters) left error,Eyeball Radius (millimiters) right,Eyeball Radius (millimiters) right error,Screen Gaze left x,Screen Gaze left y,Screen Gaze left error,Screen Gaze right x,Screen Gaze right y,Screen Gaze right error,Eye Shape left point 0 x,Eye Shape left point 0 y,Eye Shape left point 1 x,Eye Shape left point 1 y,Eye Shape left point 2 x,Eye Shape left point 2 y,Eye Shape left point 3 x,Eye Shape left point 3 y,Eye Shape left point 4 x,Eye Shape left point 4 y,Eye Shape left point 5 x,Eye Shape left point 5 y,Eye Shape left point 6 x,Eye Shape left point 6 y,Eye Shape left point 7 x,Eye Shape left point 7 y,Eye Shape left point 8 x,Eye Shape left point 8 y,Eye Shape left point 9 x,Eye Shape left point 9 y,Eye Shape left point 10 x,Eye Shape left point 10 y,Eye Shape left point 11 x,Eye Shape left point 11 y,Eye Shape left error,Eye Shape right point 0 x,Eye Shape right point 0 y,Eye Shape right point 1 x,Eye Shape right point 1 y,Eye Shape right point 2 x,Eye Shape right point 2 y,Eye Shape right point 3 x,Eye Shape right point 3 y,Eye Shape right point 4 x,Eye Shape right point 4 y,Eye Shape right point 5 x,Eye Shape right point 5 y,Eye Shape right point 6 x,Eye Shape right point 6 y,Eye Shape right point 7 x,Eye Shape right point 7 y,Eye Shape right point 8 x,Eye Shape right point 8 y,Eye Shape right point 9 x,Eye Shape right point 9 y,Eye Shape right point 10 x,Eye Shape right point 10 y,Eye Shape right point 11 x,Eye Shape right point 11 y,Eye Shape right error,Pupil Shape left center x,Pupil Shape left center y,Pupil Shape left size x,Pupil Shape left size y,Pupil Shape left angle (degrees),Pupil Shape left error,Pupil Shape right center x,Pupil Shape right center y,Pupil Shape right size x,Pupil Shape right size y,Pupil Shape right angle (degrees),Pupil Shape right error
,0.0198,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.04019,-0.19324,0.98033,,4.02473,,-0.03150,1.00000,-5.00000,0.03295,-0.16031,0.98652,,0.03150,1.00000,-5.00000,0.05124,-0.22128,0.97386,,Opened,,Opened,,3.07,,2.98,,TargetBall,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,66.14,,64.86,,12.86,,13.93,,0.02946,-0.15547,,0.05875,-0.21746,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,149.52,146.83,43.01,40.00,89.38,,164.49,160.56,38.98,44.23,161.50,
,0.0505,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.07151,-0.15034,0.98604,,2.19270,,-0.03150,1.00000,-5.00000,0.06463,-0.11787,0.99092,,0.03150,1.00000,-5.00000,0.08033,-0.18033,0.98032,,Opened,,Opened,,3.07,,3.01,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,66.00,,64.79,,12.86,,13.93,,0.06222,-0.11452,,0.08711,-0.17900,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,150.69,145.20,42.51,40.05,96.32,,164.98,159.45,39.36,44.51,155.26,
,0.0704,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.07380,-0.14982,0.98596,,2.80871,,-0.03150,1.00000,-5.00000,0.06553,-0.11772,0.99088,,0.03150,1.00000,-5.00000,0.08404,-0.17983,0.98010,,Opened,,Opened,,3.06,,3.00,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,66.07,,64.78,,12.86,,13.93,,0.06363,-0.11381,,0.09140,-0.17772,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,150.63,145.23,42.52,40.03,96.48,,165.22,159.46,39.21,44.09,164.01,
,0.0825,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.07461,-0.14967,0.98592,,2.86993,,-0.03150,1.00000,-5.00000,0.06570,-0.11778,0.99086,,0.03150,1.00000,-5.00000,0.08556,-0.17942,0.98004,,Opened,,Opened,,3.08,,3.00,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,66.08,,64.77,,12.86,,13.93,,0.06392,-0.11375,,0.09314,-0.17698,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,150.65,145.26,40.49,42.38,6.94,,165.29,159.37,39.38,44.06,163.89,
,0.0958,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.07887,-0.14895,0.98569,,14.30145,,-0.03150,1.00000,-5.00000,0.06576,-0.11780,0.99086,,0.03150,1.00000,-5.00000,0.09920,-0.17736,0.97913,,Opened,,Opened,,3.08,,3.06,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,66.26,,64.74,,12.86,,13.93,,0.06403,-0.11368,,0.10664,-0.17463,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,150.58,145.23,40.62,42.32,7.70,,166.17,159.37,42.50,42.17,119.72,
,0.1099,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.07851,-0.14906,0.98571,,2.03875,,-0.03150,1.00000,-5.00000,0.06602,-0.11820,0.99079,,0.03150,1.00000,-5.00000,0.09366,-0.17742,0.97967,,Opened,,Opened,,3.07,,3.04,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,65.98,,64.76,,12.86,,13.93,,0.06437,-0.11382,,0.10226,-0.17432,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,150.58,145.37,40.68,42.18,12.48,,164.74,159.39,42.39,41.81,118.33,
,0.1243,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.07843,-0.14906,0.98571,,3.04104,,-0.03150,1.00000,-5.00000,0.06615,-0.11850,0.99075,,0.03150,1.00000,-5.00000,0.09253,-0.17724,0.97981,,Opened,,Opened,,3.08,,3.08,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,66.09,,64.76,,12.86,,13.93,,0.06458,-0.11396,,0.10135,-0.17417,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,150.66,145.29,40.80,42.32,1.66,,165.39,159.24,41.51,43.83,150.34,
,0.1483,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.07839,-0.14906,0.98572,,3.10337,,-0.03150,1.00000,-5.00000,0.06621,-0.11862,0.99073,,0.03150,1.00000,-5.00000,0.09189,-0.17724,0.97987,,Opened,,Opened,,3.09,,3.00,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,66.09,,64.79,,12.86,,13.93,,0.06472,-0.11404,,0.10083,-0.17426,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,150.62,145.21,40.87,42.40,6.08,,165.41,159.62,39.37,44.17,160.22,
,0.1683,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.07840,-0.14903,0.98572,,3.16623,,-0.03150,1.00000,-5.00000,0.06623,-0.11864,0.99073,,0.03150,1.00000,-5.00000,0.09185,-0.17723,0.97987,,Opened,,Opened,,3.09,,3.03,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,66.10,,64.76,,12.86,,13.93,,0.06483,-0.11406,,0.10083,-0.17426,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,150.49,145.31,40.80,42.53,8.40,,165.26,159.54,39.61,44.74,155.31,
,0.1816,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.07843,-0.14900,0.98572,,4.31765,,-0.03150,1.00000,-5.00000,0.06624,-0.11864,0.99073,,0.03150,1.00000,-5.00000,0.09186,-0.17724,0.97987,,Opened,,Opened,,3.09,,3.02,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,66.15,,64.75,,12.86,,13.93,,0.06496,-0.11406,,0.10089,-0.17428,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,150.54,145.16,40.74,42.50,8.40,,165.60,159.48,39.42,44.53,158.65,
