,Application Time,User Mark,Headset Position x,Headset Position y,Headset Position z,Headset Position error,Headset Orientation Quaternion x,Headset Orientation Quaternion y,Headset Orientation Quaternion z,Headset Orientation Quaternion w,Headset Orientation Quaternion error,Combined Gaze Ray pos x,Combined Gaze Ray pos y,Combined Gaze Ray pos z,Combined Gaze Ray dir x,Combined Gaze Ray dir y,Combined Gaze Ray dir z,Combined Gaze Ray error,Gaze Depth,Gaze Depth error,Eye Ray left pos x,Eye Ray left pos y,Eye Ray left pos z,Eye Ray left dir x,Eye Ray left dir y,Eye Ray left dir z,Eye Ray left error,Eye Ray right pos x,Eye Ray right pos y,Eye Ray right pos z,Eye Ray right dir x,Eye Ray right dir y,Eye Ray right dir z,Eye Ray right error,Eye State left,Eye State left error,Eye State right,Eye State right error,Pupil Radius (millimeters) left,Pupil Radius (millimeters) left error,Pupil Radius (millimeters) right,Pupil Radius (millimeters) right error,Gazed Object,Gazed Object error,Eye Torsion (degrees) left,Eye Torsion (degrees) left error,Eye Torsion (degrees) right,Eye Torsion (degrees) right error,User Presence,User Presence error,User Attention Shift,User Attention Shift error,IPD (millimeters),IPD (millimeters) error,IOD (millimeters),IOD (millimeters) error,Eyeball Radius (millimiters) left,Eyeball Radius (millimiters) left error,Eyeball Radius (millimiters) right,Eyeball Radius (millimiters) right error,Screen Gaze left x,Screen Gaze left y,Screen Gaze left error,Screen Gaze right x,Screen Gaze right y,Screen Gaze right error,Eye Shape left point 0 x,Eye Shape left point 0 y,Eye Shape left point 1 x,Eye Shape left point 1 y,Eye Shape left point 2 x,Eye Shape left point 2 y,Eye Shape left point 3 x,Eye Shape left point 3 y,Eye Shape left point 4 x,Eye Shape left point 4 y,Eye Shape left point 5 x,Eye Shape left point 5 y,Eye Shape left point 6 x,Eye Shape left point 6 y,Eye Shape left point 7 x,Eye Shape left point 7 y,Eye Shape left point 8 x,Eye Shape left point 8 y,Eye Shape left point 9 x,Eye Shape left point 9 y,Eye Shape left point 10 x,Eye Shape left point 10 y,Eye Shape left point 11 x,Eye Shape left point 11 y,Eye Shape left error,Eye Shape right point 0 x,Eye Shape right point 0 y,Eye Shape right point 1 x,Eye Shape right point 1 y,Eye Shape right point 2 x,Eye Shape right point 2 y,Eye Shape right point 3 x,Eye Shape right point 3 y,Eye Shape right point 4 x,Eye Shape right point 4 y,Eye Shape right point 5 x,Eye Shape right point 5 y,Eye Shape right point 6 x,Eye Shape right point 6 y,Eye Shape right point 7 x,Eye Shape right point 7 y,Eye Shape right point 8 x,Eye Shape right point 8 y,Eye Shape right point 9 x,Eye Shape right point 9 y,Eye Shape right point 10 x,Eye Shape right point 10 y,Eye Shape right point 11 x,Eye Shape right point 11 y,Eye Shape right error,Pupil Shape left center x,Pupil Shape left center y,Pupil Shape left size x,Pupil Shape left size y,Pupil Shape left angle (degrees),Pupil Shape left error,Pupil Shape right center x,Pupil Shape right center y,Pupil Shape right size x,Pupil Shape right size y,Pupil Shape right angle (degrees),Pupil Shape right error
,0.0201,,0.06085,-0.56286,-1.56382,,-0.00385,-0.15167,-0.00066,0.98842,,0.06085,0.43714,-6.56382,-0.19249,-0.22197,0.95587,,6.22061,,0.03080,0.43714,-6.57327,-0.21139,-0.19978,0.95677,,0.09090,0.43713,-6.55438,-0.17318,-0.24421,0.95413,,Opened,,Opened,,2.99,,2.99,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,66.21,,64.75,,12.86,,13.93,,0.08816,-0.19986,,0.13520,-0.24887,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,151.18,149.00,42.16,39.18,101.92,,166.71,161.20,38.64,45.29,156.38,
,0.0392,,0.06072,-0.56289,-1.56374,,-0.00379,-0.15161,-0.00065,0.98843,,0.06072,0.43711,-6.56374,-0.19102,-0.22210,0.95613,,7.83139,,0.03067,0.43711,-6.57318,-0.21025,-0.19961,0.95705,,0.09078,0.43710,-6.55430,-0.17095,-0.24488,0.95436,,Opened,,Opened,,3.01,,3.04,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,66.23,,64.74,,12.86,,13.93,,0.08930,-0.19957,,0.13660,-0.24901,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,151.46,148.97,42.48,39.48,102.02,,167.13,160.98,40.48,44.58,142.49,
,0.0583,,0.06056,-0.56294,-1.56364,,-0.00379,-0.15156,-0.00051,0.98844,,0.06056,0.43706,-6.56364,-0.19147,-0.22093,0.95631,,8.40300,Data_LowAccuracy,0.03051,0.43706,-6.57307,-0.21097,-0.19882,0.95706,,0.09061,0.43706,-6.55420,-0.17129,-0.24274,0.95485,Data_LowAccuracy,Opened,,Opened,,3.00,,2.96,Data_LowAccuracy,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,66.24,Data_LowAccuracy,64.75,Data_LowAccuracy,12.86,,13.93,,0.08859,-0.19877,,0.13651,-0.24715,Data_LowAccuracy,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,151.15,148.93,42.40,39.37,100.77,,166.85,161.11,38.42,44.75,160.46,Data_LowAccuracy
,0.0690,,0.06049,-0.56296,-1.56358,,-0.00381,-0.15158,-0.00044,0.98844,,0.06049,0.43704,-6.56358,-0.19116,-0.22018,0.95654,,-18.91224,,0.03044,0.43703,-6.57302,-0.21122,-0.19853,0.95706,,0.09055,0.43705,-6.55414,-0.16967,-0.24085,0.95562,,Opened,,Opened,,3.00,,3.05,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,66.35,,64.74,,12.86,,13.93,,0.08841,-0.19851,,0.13834,-0.24543,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,151.15,148.93,42.39,39.37,101.02,,167.44,160.91,40.92,44.03,160.95,
,0.0852,,0.06043,-0.56298,-1.56352,,-0.00383,-0.15165,-0.00039,0.98843,,0.06043,0.43702,-6.56352,-0.19256,-0.21945,0.95643,,6.32656,,0.03038,0.43701,-6.57296,-0.21164,-0.19821,0.95704,,0.09048,0.43703,-6.55407,-0.17319,-0.23973,0.95527,,Opened,,Opened,,2.99,,3.00,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,66.21,,64.78,,12.86,,13.93,,0.08803,-0.19810,,0.13522,-0.24420,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,151.15,149.03,42.23,39.22,100.80,,166.74,161.04,39.14,44.86,157.50,
,0.0988,,0.06037,-0.56299,-1.56345,,-0.00381,-0.15174,-0.00035,0.98841,,0.06037,0.43701,-6.56345,-0.19387,-0.21755,0.95660,,3.39640,,0.03032,0.43699,-6.57290,-0.21199,-0.19791,0.95702,,0.09042,0.43702,-6.55400,-0.17762,-0.23526,0.95557,,Opened,,Opened,,3.01,,3.01,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,66.12,,64.79,,12.86,,13.93,,0.08781,-0.19769,,0.13109,-0.23979,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,151.20,148.94,39.45,42.49,8.38,,166.33,160.82,38.67,46.19,150.41,
,0.1122,,0.06030,-0.56298,-1.56346,,-0.00379,-0.15184,-0.00032,0.98840,,0.06030,0.43702,-6.56346,-0.19441,-0.21694,0.95663,,5.52122,,0.03025,0.43700,-6.57291,-0.21228,-0.19769,0.95700,,0.09035,0.43703,-6.55400,-0.17808,-0.23469,0.95562,,Opened,,Opened,,3.01,,3.00,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,66.20,,64.81,,12.86,,13.93,,0.08764,-0.19742,,0.13067,-0.23912,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,151.21,148.84,42.40,39.39,101.17,,166.70,160.91,38.97,45.31,157.34,
,0.1337,,0.06021,-0.56303,-1.56343,,-0.00379,-0.15196,-0.00027,0.98838,,0.06021,0.43697,-6.56343,-0.19490,-0.21664,0.95660,,22.57093,,0.03017,0.43695,-6.57289,-0.21255,-0.19764,0.95695,,0.09026,0.43699,-6.55397,-0.17856,-0.23434,0.95561,,Opened,,Opened,,3.01,,3.07,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,66.29,,64.81,,12.86,,13.93,,0.08751,-0.19735,,0.13029,-0.23871,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,151.16,148.93,39.36,42.57,5.24,,167.13,160.88,41.18,44.51,139.99,
,0.1435,,0.06016,-0.56304,-1.56344,,-0.00380,-0.15207,-0.00018,0.98836,,0.06016,0.43696,-6.56344,-0.19518,-0.21653,0.95657,,8.45038,,0.03012,0.43693,-6.57291,-0.21277,-0.19762,0.95691,,0.09020,0.43698,-6.55398,-0.17882,-0.23420,0.95560,,Opened,,Opened,,3.01,,3.02,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,66.24,,64.81,,12.86,,13.93,,0.08743,-0.19733,,0.13019,-0.23857,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,151.16,148.93,39.36,42.57,5.24,,166.86,160.94,38.36,46.48,161.08,
,0.1555,,0.06012,-0.56301,-1.56355,,-0.00382,-0.15214,-0.00009,0.98835,,0.06012,0.43699,-6.56355,-0.19536,-0.21638,0.95656,,12.04554,,0.03008,0.43696,-6.57302,-0.21296,-0.19756,0.95688,,0.09016,0.43702,-6.55407,-0.17886,-0.23402,0.95564,,Opened,,Opened,,3.01,,2.98,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,66.26,,64.78,,12.86,,13.93,,0.08729,-0.19727,,0.13025,-0.23841,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,151.17,148.97,39.36,42.48,6.73,,166.97,161.00,38.16,45.47,163.79,
