,Application Time,User Mark,Headset Position x,Headset Position y,Headset Position z,Headset Position error,Headset Orientation Quaternion x,Headset Orientation Quaternion y,Headset Orientation Quaternion z,Headset Orientation Quaternion w,Headset Orientation Quaternion error,Combined Gaze Ray pos x,Combined Gaze Ray pos y,Combined Gaze Ray pos z,Combined Gaze Ray dir x,Combined Gaze Ray dir y,Combined Gaze Ray dir z,Combined Gaze Ray error,Gaze Depth,Gaze Depth error,Eye Ray left pos x,Eye Ray left pos y,Eye Ray left pos z,Eye Ray left dir x,Eye Ray left dir y,Eye Ray left dir z,Eye Ray left error,Eye Ray right pos x,Eye Ray right pos y,Eye Ray right pos z,Eye Ray right dir x,Eye Ray right dir y,Eye Ray right dir z,Eye Ray right error,Eye State left,Eye State left error,Eye State right,Eye State right error,Pupil Radius (millimeters) left,Pupil Radius (millimeters) left error,Pupil Radius (millimeters) right,Pupil Radius (millimeters) right error,Gazed Object,Gazed Object error,Eye Torsion (degrees) left,Eye Torsion (degrees) left error,Eye Torsion (degrees) right,Eye Torsion (degrees) right error,User Presence,User Presence error,User Attention Shift,User Attention Shift error,IPD (millimeters),IPD (millimeters) error,IOD (millimeters),IOD (millimeters) error,Eyeball Radius (millimiters) left,Eyeball Radius (millimiters) left error,Eyeball Radius (millimiters) right,Eyeball Radius (millimiters) right error,Screen Gaze left x,Screen Gaze left y,Screen Gaze left error,Screen Gaze right x,Screen Gaze right y,Screen Gaze right error,Eye Shape left point 0 x,Eye Shape left point 0 y,Eye Shape left point 1 x,Eye Shape left point 1 y,Eye Shape left point 2 x,Eye Shape left point 2 y,Eye Shape left point 3 x,Eye Shape left point 3 y,Eye Shape left point 4 x,Eye Shape left point 4 y,Eye Shape left point 5 x,Eye Shape left point 5 y,Eye Shape left point 6 x,Eye Shape left point 6 y,Eye Shape left point 7 x,Eye Shape left point 7 y,Eye Shape left point 8 x,Eye Shape left point 8 y,Eye Shape left point 9 x,Eye Shape left point 9 y,Eye Shape left point 10 x,Eye Shape left point 10 y,Eye Shape left point 11 x,Eye Shape left point 11 y,Eye Shape left error,Eye Shape right point 0 x,Eye Shape right point 0 y,Eye Shape right point 1 x,Eye Shape right point 1 y,Eye Shape right point 2 x,Eye Shape right point 2 y,Eye Shape right point 3 x,Eye Shape right point 3 y,Eye Shape right point 4 x,Eye Shape right point 4 y,Eye Shape right point 5 x,Eye Shape right point 5 y,Eye Shape right point 6 x,Eye Shape right point 6 y,Eye Shape right point 7 x,Eye Shape right point 7 y,Eye Shape right point 8 x,Eye Shape right point 8 y,Eye Shape right point 9 x,Eye Shape right point 9 y,Eye Shape right point 10 x,Eye Shape right point 10 y,Eye Shape right point 11 x,Eye Shape right point 11 y,Eye Shape right error,Pupil Shape left center x,Pupil Shape left center y,Pupil Shape left size x,Pupil Shape left size y,Pupil Shape left angle (degrees),Pupil Shape left error,Pupil Shape right center x,Pupil Shape right center y,Pupil Shape right size x,Pupil Shape right size y,Pupil Shape right angle (degrees),Pupil Shape right error
,0.0231,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.02236,-0.01795,0.99959,,1.25670,,-0.03150,1.00000,-5.00000,0.01221,-0.03446,0.99933,,0.03150,1.00000,-5.00000,0.03309,-0.00153,0.99945,,Opened,,Opened,,2.67,,2.63,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,64.87,,64.51,,11.19,,11.29,,0.01007,-0.02492,,0.03571,0.00352,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,149.96,129.99,34.93,35.82,72.65,,156.62,147.19,33.16,36.78,126.90,
,0.0656,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.02239,-0.01807,0.99959,,1.31779,,-0.03150,1.00000,-5.00000,0.01132,-0.03487,0.99933,,0.03150,1.00000,-5.00000,0.03377,-0.00169,0.99943,,Opened,,Opened,,2.69,,2.63,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,64.90,,64.44,,11.19,,11.29,,0.00894,-0.02521,,0.03617,0.00340,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,149.95,130.11,35.37,35.93,65.24,,156.61,147.07,33.08,36.87,127.21,
,0.0926,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.02104,-0.01827,0.99961,,1.21593,,-0.03150,1.00000,-5.00000,0.00486,-0.03563,0.99935,,0.03150,1.00000,-5.00000,0.03418,-0.00154,0.99941,,Opened,,Opened,,2.67,,2.64,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,64.86,,64.43,,11.19,,11.29,,0.00577,-0.02581,,0.03645,0.00337,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,150.05,130.04,35.14,35.66,95.59,,156.53,147.09,33.15,37.04,130.73,
,0.1171,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.02081,-0.01812,0.99962,,1.22490,,-0.03150,1.00000,-5.00000,0.00401,-0.03552,0.99936,,0.03150,1.00000,-5.00000,0.03458,-0.00109,0.99940,,Opened,,Opened,,2.68,,2.65,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,64.86,,64.42,,11.19,,11.29,,0.00545,-0.02584,,0.03658,0.00338,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,150.11,129.98,35.24,35.63,85.25,,156.60,147.03,33.01,37.29,124.40,
,0.1280,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.02057,-0.01792,0.99963,,1.20097,,-0.03150,1.00000,-5.00000,0.00324,-0.03553,0.99936,,0.03150,1.00000,-5.00000,0.03497,-0.00042,0.99939,,Opened,,Opened,,2.68,,2.64,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,64.85,,64.42,,11.19,,11.29,,0.00397,-0.02587,,0.03672,0.00340,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,150.13,129.98,35.25,35.57,86.82,,156.57,147.07,33.21,36.99,130.57,
,0.1413,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.02045,-0.01784,0.99963,,1.17751,,-0.03150,1.00000,-5.00000,0.00289,-0.03560,0.99936,,0.03150,1.00000,-5.00000,0.03512,-0.00010,0.99938,,Opened,,Opened,,2.69,,2.65,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,64.84,,64.42,,11.19,,11.29,,0.00340,-0.02589,,0.03679,0.00342,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,150.08,130.09,35.38,35.72,58.46,,156.48,147.01,32.95,37.33,124.25,
,0.1565,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.02040,-0.01790,0.99963,,1.34811,,-0.03150,1.00000,-5.00000,0.00244,-0.03578,0.99936,,0.03150,1.00000,-5.00000,0.03555,-0.00022,0.99937,,Opened,,Opened,,2.71,,2.66,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,64.91,,64.41,,11.19,,11.29,,0.00285,-0.02595,,0.03749,0.00338,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,149.96,130.39,35.40,36.32,27.87,,156.65,147.23,33.14,37.47,127.63,
,0.1708,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.02019,-0.01779,0.99964,,1.18173,,-0.03150,1.00000,-5.00000,0.00189,-0.03590,0.99935,,0.03150,1.00000,-5.00000,0.03577,0.00026,0.99936,,Opened,,Opened,,2.69,,2.65,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,64.84,,64.41,,11.19,,11.29,,0.00203,-0.02603,,0.03798,0.00395,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,150.08,130.09,35.38,35.72,58.46,,156.49,147.03,33.13,37.18,124.63,
,0.1869,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.02018,-0.01788,0.99964,,1.19127,,-0.03150,1.00000,-5.00000,0.00149,-0.03601,0.99935,,0.03150,1.00000,-5.00000,0.03659,-0.00009,0.99933,,Opened,,Opened,,2.68,,2.66,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,64.85,,64.40,,11.19,,11.29,,0.00139,-0.02612,,0.03906,0.00374,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,150.16,129.97,35.25,35.70,97.36,,156.57,146.96,33.33,37.26,124.13,
,0.2004,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.01998,-0.01789,0.99964,,1.31903,,-0.03150,1.00000,-5.00000,0.00133,-0.03606,0.99935,,0.03150,1.00000,-5.00000,0.03741,-0.00026,0.99930,,Opened,,Opened,,2.68,,2.66,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,64.90,,64.40,,11.19,,11.29,,0.00089,-0.02619,,0.04010,0.00363,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,150.08,130.02,35.18,35.77,71.10,,156.70,147.10,33.36,37.28,121.69,
