,Application Time,User Mark,Headset Position x,Headset Position y,Headset Position z,Headset Position error,Headset Orientation Quaternion x,Headset Orientation Quaternion y,Headset Orientation Quaternion z,Headset Orientation Quaternion w,Headset Orientation Quaternion error,Combined Gaze Ray pos x,Combined Gaze Ray pos y,Combined Gaze Ray pos z,Combined Gaze Ray dir x,Combined Gaze Ray dir y,Combined Gaze Ray dir z,Combined Gaze Ray error,Gaze Depth,Gaze Depth error,Eye Ray left pos x,Eye Ray left pos y,Eye Ray left pos z,Eye Ray left dir x,Eye Ray left dir y,Eye Ray left dir z,Eye Ray left error,Eye Ray right pos x,Eye Ray right pos y,Eye Ray right pos z,Eye Ray right dir x,Eye Ray right dir y,Eye Ray right dir z,Eye Ray right error,Eye State left,Eye State left error,Eye State right,Eye State right error,Pupil Radius (millimeters) left,Pupil Radius (millimeters) left error,Pupil Radius (millimeters) right,Pupil Radius (millimeters) right error,Gazed Object,Gazed Object error,Eye Torsion (degrees) left,Eye Torsion (degrees) left error,Eye Torsion (degrees) right,Eye Torsion (degrees) right error,User Presence,User Presence error,User Attention Shift,User Attention Shift error,IPD (millimeters),IPD (millimeters) error,IOD (millimeters),IOD (millimeters) error,Eyeball Radius (millimiters) left,Eyeball Radius (millimiters) left error,Eyeball Radius (millimiters) right,Eyeball Radius (millimiters) right error,Screen Gaze left x,Screen Gaze left y,Screen Gaze left error,Screen Gaze right x,Screen Gaze right y,Screen Gaze right error,Eye Shape left point 0 x,Eye Shape left point 0 y,Eye Shape left point 1 x,Eye Shape left point 1 y,Eye Shape left point 2 x,Eye Shape left point 2 y,Eye Shape left point 3 x,Eye Shape left point 3 y,Eye Shape left point 4 x,Eye Shape left point 4 y,Eye Shape left point 5 x,Eye Shape left point 5 y,Eye Shape left point 6 x,Eye Shape left point 6 y,Eye Shape left point 7 x,Eye Shape left point 7 y,Eye Shape left point 8 x,Eye Shape left point 8 y,Eye Shape left point 9 x,Eye Shape left point 9 y,Eye Shape left point 10 x,Eye Shape left point 10 y,Eye Shape left point 11 x,Eye Shape left point 11 y,Eye Shape left error,Eye Shape right point 0 x,Eye Shape right point 0 y,Eye Shape right point 1 x,Eye Shape right point 1 y,Eye Shape right point 2 x,Eye Shape right point 2 y,Eye Shape right point 3 x,Eye Shape right point 3 y,Eye Shape right point 4 x,Eye Shape right point 4 y,Eye Shape right point 5 x,Eye Shape right point 5 y,Eye Shape right point 6 x,Eye Shape right point 6 y,Eye Shape right point 7 x,Eye Shape right point 7 y,Eye Shape right point 8 x,Eye Shape right point 8 y,Eye Shape right point 9 x,Eye Shape right point 9 y,Eye Shape right point 10 x,Eye Shape right point 10 y,Eye Shape right point 11 x,Eye Shape right point 11 y,Eye Shape right error,Pupil Shape left center x,Pupil Shape left center y,Pupil Shape left size x,Pupil Shape left size y,Pupil Shape left angle (degrees),Pupil Shape left error,Pupil Shape right center x,Pupil Shape right center y,Pupil Shape right size x,Pupil Shape right size y,Pupil Shape right angle (degrees),Pupil Shape right error
,0.0171,,0.26364,-0.78728,-1.92663,,0.01528,-0.00045,0.02947,0.99945,,0.26364,0.21272,-6.92663,-0.00057,-0.27670,0.96096,Data_Unreliable,0.52957,Data_Unreliable,0.23220,0.21087,-6.92669,-0.01067,-0.24198,0.97022,Data_Unreliable,0.29509,0.21458,-6.92658,0.00953,-0.31103,0.95035,Data_Unreliable,Closed,,Closed,,2.83,Data_Unreliable,2.66,Data_Unreliable,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,Data_Unreliable,64.92,Data_Unreliable,64.59,Data_Unreliable,11.19,,11.29,,-0.02603,-0.19702,Data_Unreliable,-0.00506,-0.27381,Data_Unreliable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,2.00,2.00,0.00,Data_Unreliable,0.00,0.00,2.00,2.00,0.00,Data_Unreliable
,0.0448,,0.26363,-0.78735,-1.92663,,0.01543,-0.00040,0.02944,0.99945,,0.26363,0.21265,-6.92663,-0.00055,-0.27688,0.96090,Data_Unreliable,0.52957,Data_Unreliable,0.23219,0.21080,-6.92669,-0.01065,-0.24217,0.97018,Data_Unreliable,0.29508,0.21450,-6.92658,0.00954,-0.31121,0.95029,Data_Unreliable,Closed,,Closed,,2.83,Data_Unreliable,2.66,Data_Unreliable,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,Data_Unreliable,64.92,Data_Unreliable,64.59,Data_Unreliable,11.19,,11.29,,-0.02603,-0.19702,Data_Unreliable,-0.00506,-0.27381,Data_Unreliable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,2.00,2.00,0.00,Data_Unreliable,0.00,0.00,2.00,2.00,0.00,Data_Unreliable
,0.0612,,0.26366,-0.78749,-1.92643,,0.01572,-0.00031,0.02938,0.99944,,0.26366,0.21251,-6.92643,-0.00036,-0.27743,0.96075,Data_Unreliable,0.52957,Data_Unreliable,0.23221,0.21066,-6.92648,-0.01045,-0.24272,0.97004,Data_Unreliable,0.29510,0.21436,-6.92638,0.00973,-0.31176,0.95011,Data_Unreliable,Closed,,Closed,,2.83,Data_Unreliable,2.66,Data_Unreliable,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,Data_Unreliable,64.92,Data_Unreliable,64.59,Data_Unreliable,11.19,,11.29,,-0.02603,-0.19702,Data_Unreliable,-0.00506,-0.27381,Data_Unreliable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,2.00,2.00,0.00,Data_Unreliable,0.00,0.00,2.00,2.00,0.00,Data_Unreliable
,0.0756,,0.26366,-0.78751,-1.92628,,0.01587,-0.00029,0.02934,0.99944,,0.26366,0.21249,-6.92628,-0.00027,-0.27762,0.96069,Data_Unreliable,0.52957,Data_Unreliable,0.23222,0.21064,-6.92633,-0.01035,-0.24292,0.96999,Data_Unreliable,0.29511,0.21434,-6.92623,0.00982,-0.31195,0.95005,Data_Unreliable,Closed,,Closed,,2.83,Data_Unreliable,2.66,Data_Unreliable,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,Data_Unreliable,64.92,Data_Unreliable,64.59,Data_Unreliable,11.19,,11.29,,-0.02603,-0.19702,Data_Unreliable,-0.00506,-0.27381,Data_Unreliable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,2.00,2.00,0.00,Data_Unreliable,0.00,0.00,2.00,2.00,0.00,Data_Unreliable
,0.0869,,0.26370,-0.78754,-1.92596,,0.01601,-0.00027,0.02929,0.99944,,0.26370,0.21246,-6.92596,-0.00014,-0.27791,0.96061,Data_Unreliable,0.52957,Data_Unreliable,0.23225,0.21062,-6.92601,-0.01023,-0.24320,0.96992,Data_Unreliable,0.29514,0.21431,-6.92591,0.00994,-0.31223,0.94995,Data_Unreliable,Closed,,Closed,,2.83,Data_Unreliable,2.66,Data_Unreliable,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,Data_Unreliable,64.92,Data_Unreliable,64.59,Data_Unreliable,11.19,,11.29,,-0.02603,-0.19702,Data_Unreliable,-0.00506,-0.27381,Data_Unreliable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,2.00,2.00,0.00,Data_Unreliable,0.00,0.00,2.00,2.00,0.00,Data_Unreliable
,0.1010,,0.26370,-0.78755,-1.92576,,0.01615,-0.00025,0.02923,0.99944,,0.26370,0.21245,-6.92576,-0.00010,-0.27828,0.96050,Data_Unreliable,0.52957,Data_Unreliable,0.23225,0.21061,-6.92581,-0.01018,-0.24358,0.96983,Data_Unreliable,0.29514,0.21429,-6.92572,0.00998,-0.31260,0.94983,Data_Unreliable,Closed,,Closed,,2.83,Data_Unreliable,2.66,Data_Unreliable,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,Data_Unreliable,64.92,Data_Unreliable,64.59,Data_Unreliable,11.19,,11.29,,-0.02603,-0.19702,Data_Unreliable,-0.00506,-0.27381,Data_Unreliable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,2.00,2.00,0.00,Data_Unreliable,0.00,0.00,2.00,2.00,0.00,Data_Unreliable
,0.1170,,0.26369,-0.78756,-1.92556,,0.01629,-0.00025,0.02917,0.99944,,0.26369,0.21244,-6.92556,0.04177,-0.29717,0.95391,Data_Unreliable,0.52957,Data_Unreliable,0.23224,0.21060,-6.92561,0.07336,-0.28077,0.95697,Data_Unreliable,0.29513,0.21427,-6.92552,0.01007,-0.31291,0.94973,Data_Unreliable,Closed,,Closed,,2.67,Data_Unreliable,2.66,Data_Unreliable,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,Data_Unreliable,64.92,Data_Unreliable,64.59,Data_Unreliable,11.19,,11.29,,0.06239,-0.24055,Data_Unreliable,-0.00506,-0.27381,Data_Unreliable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,155.07,139.37,36.92,35.20,-113.67,Data_Unreliable,0.00,0.00,2.00,2.00,0.00,Data_Unreliable
,0.1325,,0.26371,-0.78760,-1.92532,,0.01645,-0.00025,0.02910,0.99944,,0.23226,0.21057,-6.92536,0.03963,-0.30098,0.95281,Data_Unreliable,0.52957,Data_Unreliable,0.23226,0.21057,-6.92536,0.03963,-0.30098,0.95281,Data_LowAccuracy,0.29516,0.21423,-6.92527,0.01013,-0.31314,0.94965,Data_Unreliable,Opened,,NotDetected,,2.79,Data_LowAccuracy,2.66,Data_Unreliable,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,Data_LowAccuracy,64.92,Data_Unreliable,64.59,Data_Unreliable,11.19,,11.29,,0.02445,-0.25894,Data_LowAccuracy,-0.00506,-0.27381,Data_Unreliable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,153.77,139.08,39.15,36.35,101.22,Data_LowAccuracy,0.00,0.00,2.00,2.00,0.00,Data_Unreliable
,0.1452,,0.26371,-0.78762,-1.92515,,0.01663,-0.00027,0.02901,0.99944,,0.26371,0.21238,-6.92515,0.04056,-0.28941,0.95635,Data_Unreliable,0.43342,Data_LowAccuracy,0.23226,0.21056,-6.92520,0.04221,-0.24491,0.96863,Data_LowAccuracy,0.29516,0.21421,-6.92510,0.03982,-0.32398,0.94522,,Opened,,Opened,,2.99,Data_LowAccuracy,2.73,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,64.86,Data_LowAccuracy,64.64,Data_LowAccuracy,11.19,,11.29,,0.02708,-0.20824,Data_LowAccuracy,0.02705,-0.28810,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,154.09,137.07,41.85,38.70,93.41,Data_LowAccuracy,160.28,162.25,34.35,40.04,150.63,
,0.1590,,0.26375,-0.78765,-1.92467,,0.01686,-0.00031,0.02892,0.99944,,0.26375,0.21235,-6.92467,0.03008,-0.28891,0.95688,,0.45191,,0.23230,0.21053,-6.92473,0.01538,-0.27218,0.96212,,0.29520,0.21417,-6.92462,0.04576,-0.30670,0.95071,,Opened,,Opened,,2.87,,2.73,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,64.92,,64.66,,11.19,,11.29,,-0.00084,-0.22552,,0.03580,-0.26817,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,153.47,138.65,40.22,37.31,89.93,,159.99,162.23,33.94,40.87,137.48,
