,Application Time,User Mark,Headset Position x,Headset Position y,Headset Position z,Headset Position error,Headset Orientation Quaternion x,Headset Orientation Quaternion y,Headset Orientation Quaternion z,Headset Orientation Quaternion w,Headset Orientation Quaternion error,Combined Gaze Ray pos x,Combined Gaze Ray pos y,Combined Gaze Ray pos z,Combined Gaze Ray dir x,Combined Gaze Ray dir y,Combined Gaze Ray dir z,Combined Gaze Ray error,Gaze Depth,Gaze Depth error,Eye Ray left pos x,Eye Ray left pos y,Eye Ray left pos z,Eye Ray left dir x,Eye Ray left dir y,Eye Ray left dir z,Eye Ray left error,Eye Ray right pos x,Eye Ray right pos y,Eye Ray right pos z,Eye Ray right dir x,Eye Ray right dir y,Eye Ray right dir z,Eye Ray right error,Eye State left,Eye State left error,Eye State right,Eye State right error,Pupil Radius (millimeters) left,Pupil Radius (millimeters) left error,Pupil Radius (millimeters) right,Pupil Radius (millimeters) right error,Gazed Object,Gazed Object error,Eye Torsion (degrees) left,Eye Torsion (degrees) left error,Eye Torsion (degrees) right,Eye Torsion (degrees) right error,User Presence,User Presence error,User Attention Shift,User Attention Shift error,IPD (millimeters),IPD (millimeters) error,IOD (millimeters),IOD (millimeters) error,Eyeball Radius (millimiters) left,Eyeball Radius (millimiters) left error,Eyeball Radius (millimiters) right,Eyeball Radius (millimiters) right error,Screen Gaze left x,Screen Gaze left y,Screen Gaze left error,Screen Gaze right x,Screen Gaze right y,Screen Gaze right error,Eye Shape left point 0 x,Eye Shape left point 0 y,Eye Shape left point 1 x,Eye Shape left point 1 y,Eye Shape left point 2 x,Eye Shape left point 2 y,Eye Shape left point 3 x,Eye Shape left point 3 y,Eye Shape left point 4 x,Eye Shape left point 4 y,Eye Shape left point 5 x,Eye Shape left point 5 y,Eye Shape left point 6 x,Eye Shape left point 6 y,Eye Shape left point 7 x,Eye Shape left point 7 y,Eye Shape left point 8 x,Eye Shape left point 8 y,Eye Shape left point 9 x,Eye Shape left point 9 y,Eye Shape left point 10 x,Eye Shape left point 10 y,Eye Shape left point 11 x,Eye Shape left point 11 y,Eye Shape left error,Eye Shape right point 0 x,Eye Shape right point 0 y,Eye Shape right point 1 x,Eye Shape right point 1 y,Eye Shape right point 2 x,Eye Shape right point 2 y,Eye Shape right point 3 x,Eye Shape right point 3 y,Eye Shape right point 4 x,Eye Shape right point 4 y,Eye Shape right point 5 x,Eye Shape right point 5 y,Eye Shape right point 6 x,Eye Shape right point 6 y,Eye Shape right point 7 x,Eye Shape right point 7 y,Eye Shape right point 8 x,Eye Shape right point 8 y,Eye Shape right point 9 x,Eye Shape right point 9 y,Eye Shape right point 10 x,Eye Shape right point 10 y,Eye Shape right point 11 x,Eye Shape right point 11 y,Eye Shape right error,Pupil Shape left center x,Pupil Shape left center y,Pupil Shape left size x,Pupil Shape left size y,Pupil Shape left angle (degrees),Pupil Shape left error,Pupil Shape right center x,Pupil Shape right center y,Pupil Shape right size x,Pupil Shape right size y,Pupil Shape right angle (degrees),Pupil Shape right error
,0.0241,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.02760,-0.02008,0.99942,,1.81608,,-0.03150,1.00000,-5.00000,0.01910,-0.01228,0.99974,,0.03150,1.00000,-5.00000,0.03609,-0.02787,0.99896,,Opened,,Opened,,2.32,,2.19,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,64.77,,64.40,,12.17,Data_Uncalibrated,11.90,,0.02193,-0.01072,,0.04374,-0.02698,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,157.72,124.79,29.91,31.84,82.18,,164.35,139.88,27.80,30.79,122.41,
,0.0465,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.02694,-0.01977,0.99944,,1.71816,,-0.03150,1.00000,-5.00000,0.01752,-0.01185,0.99978,,0.03150,1.00000,-5.00000,0.03530,-0.02739,0.99900,,Opened,,Opened,,2.31,,2.22,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,64.75,,64.40,,12.17,Data_Uncalibrated,11.90,,0.02056,-0.01040,,0.04301,-0.02661,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,157.58,124.66,29.95,31.42,96.52,,164.11,139.84,28.12,31.38,127.11,
,0.0660,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.02619,-0.01973,0.99946,,1.66148,,-0.03150,1.00000,-5.00000,0.01711,-0.01193,0.99978,,0.03150,1.00000,-5.00000,0.03441,-0.02721,0.99904,,Opened,,Opened,,2.32,,2.22,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,64.74,,64.41,,12.17,Data_Uncalibrated,11.90,,0.02017,-0.01046,,0.04217,-0.02644,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,157.56,124.64,29.76,31.81,90.47,,164.04,139.75,27.91,31.56,122.03,
,0.0751,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.02590,-0.01972,0.99947,,1.48153,,-0.03150,1.00000,-5.00000,0.01693,-0.01200,0.99978,,0.03150,1.00000,-5.00000,0.03416,-0.02712,0.99905,,Opened,,Opened,,2.35,,2.24,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,64.69,,64.42,,12.17,Data_Uncalibrated,11.90,,0.02001,-0.01052,,0.04193,-0.02638,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,157.74,124.38,30.31,32.24,75.40,,163.97,139.86,28.23,31.62,124.20,
,0.0908,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.02567,-0.01973,0.99948,,1.42057,,-0.03150,1.00000,-5.00000,0.01689,-0.01203,0.99978,,0.03150,1.00000,-5.00000,0.03377,-0.02711,0.99906,,Opened,,Opened,,2.35,,2.25,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,64.67,,64.43,,12.17,Data_Uncalibrated,11.90,,0.01998,-0.01054,,0.04149,-0.02639,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,157.74,124.42,30.24,32.31,70.80,,163.89,139.78,28.52,31.70,126.90,
,0.1054,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.02555,-0.01974,0.99948,,1.83714,,-0.03150,1.00000,-5.00000,0.01694,-0.01204,0.99978,,0.03150,1.00000,-5.00000,0.03330,-0.02712,0.99908,,Opened,,Opened,,2.33,,2.23,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,64.78,,64.44,,12.17,Data_Uncalibrated,11.90,,0.02000,-0.01054,,0.04098,-0.02639,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,157.23,124.52,31.29,30.58,93.45,,163.90,139.66,28.13,31.59,123.11,
,0.1181,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.02551,-0.01973,0.99948,,2.19219,,-0.03150,1.00000,-5.00000,0.01695,-0.01204,0.99978,,0.03150,1.00000,-5.00000,0.03317,-0.02708,0.99908,,Opened,,Opened,,2.35,,2.31,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,64.84,,64.43,,12.17,Data_Uncalibrated,11.90,,0.02000,-0.01054,,0.04087,-0.02634,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,157.50,124.35,29.97,32.59,70.63,,164.44,139.48,29.12,32.29,101.94,
,0.1328,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.02543,-0.01971,0.99948,,1.47205,,-0.03150,1.00000,-5.00000,0.01696,-0.01205,0.99978,,0.03150,1.00000,-5.00000,0.03292,-0.02700,0.99909,,Opened,,Opened,,2.38,,2.25,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,64.69,,64.43,,12.17,Data_Uncalibrated,11.90,,0.02001,-0.01054,,0.04066,-0.02628,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,157.68,124.26,32.00,31.27,93.26,,163.90,139.72,28.38,31.71,125.33,
,0.1471,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.02542,-0.01970,0.99948,,1.60157,,-0.03150,1.00000,-5.00000,0.01705,-0.01205,0.99978,,0.03150,1.00000,-5.00000,0.03280,-0.02697,0.99910,,Opened,,Opened,,2.36,,2.25,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,64.73,,64.43,,12.17,Data_Uncalibrated,11.90,,0.02001,-0.01054,,0.04054,-0.02625,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,157.47,124.59,30.33,32.38,83.01,,163.86,139.75,28.56,31.57,126.24,
,0.1606,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.02520,-0.01972,0.99949,,1.42968,,-0.03150,1.00000,-5.00000,0.01689,-0.01214,0.99978,,0.03150,1.00000,-5.00000,0.03255,-0.02692,0.99911,,Opened,,Opened,,2.42,,2.27,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,64.68,,64.42,,12.17,Data_Uncalibrated,11.90,,0.02000,-0.01055,,0.04029,-0.02622,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,157.56,124.32,32.48,31.73,93.12,,163.71,139.72,28.30,32.44,123.95,
