,Application Time,User Mark,Headset Position x,Headset Position y,Headset Position z,Headset Position error,Headset Orientation Quaternion x,Headset Orientation Quaternion y,Headset Orientation Quaternion z,Headset Orientation Quaternion w,Headset Orientation Quaternion error,Combined Gaze Ray pos x,Combined Gaze Ray pos y,Combined Gaze Ray pos z,Combined Gaze Ray dir x,Combined Gaze Ray dir y,Combined Gaze Ray dir z,Combined Gaze Ray error,Gaze Depth,Gaze Depth error,Eye Ray left pos x,Eye Ray left pos y,Eye Ray left pos z,Eye Ray left dir x,Eye Ray left dir y,Eye Ray left dir z,Eye Ray left error,Eye Ray right pos x,Eye Ray right pos y,Eye Ray right pos z,Eye Ray right dir x,Eye Ray right dir y,Eye Ray right dir z,Eye Ray right error,Eye State left,Eye State left error,Eye State right,Eye State right error,Pupil Radius (millimeters) left,Pupil Radius (millimeters) left error,Pupil Radius (millimeters) right,Pupil Radius (millimeters) right error,Gazed Object,Gazed Object error,Eye Torsion (degrees) left,Eye Torsion (degrees) left error,Eye Torsion (degrees) right,Eye Torsion (degrees) right error,User Presence,User Presence error,User Attention Shift,User Attention Shift error,IPD (millimeters),IPD (millimeters) error,IOD (millimeters),IOD (millimeters) error,Eyeball Radius (millimiters) left,Eyeball Radius (millimiters) left error,Eyeball Radius (millimiters) right,Eyeball Radius (millimiters) right error,Screen Gaze left x,Screen Gaze left y,Screen Gaze left error,Screen Gaze right x,Screen Gaze right y,Screen Gaze right error,Eye Shape left point 0 x,Eye Shape left point 0 y,Eye Shape left point 1 x,Eye Shape left point 1 y,Eye Shape left point 2 x,Eye Shape left point 2 y,Eye Shape left point 3 x,Eye Shape left point 3 y,Eye Shape left point 4 x,Eye Shape left point 4 y,Eye Shape left point 5 x,Eye Shape left point 5 y,Eye Shape left point 6 x,Eye Shape left point 6 y,Eye Shape left point 7 x,Eye Shape left point 7 y,Eye Shape left point 8 x,Eye Shape left point 8 y,Eye Shape left point 9 x,Eye Shape left point 9 y,Eye Shape left point 10 x,Eye Shape left point 10 y,Eye Shape left point 11 x,Eye Shape left point 11 y,Eye Shape left error,Eye Shape right point 0 x,Eye Shape right point 0 y,Eye Shape right point 1 x,Eye Shape right point 1 y,Eye Shape right point 2 x,Eye Shape right point 2 y,Eye Shape right point 3 x,Eye Shape right point 3 y,Eye Shape right point 4 x,Eye Shape right point 4 y,Eye Shape right point 5 x,Eye Shape right point 5 y,Eye Shape right point 6 x,Eye Shape right point 6 y,Eye Shape right point 7 x,Eye Shape right point 7 y,Eye Shape right point 8 x,Eye Shape right point 8 y,Eye Shape right point 9 x,Eye Shape right point 9 y,Eye Shape right point 10 x,Eye Shape right point 10 y,Eye Shape right point 11 x,Eye Shape right point 11 y,Eye Shape right error,Pupil Shape left center x,Pupil Shape left center y,Pupil Shape left size x,Pupil Shape left size y,Pupil Shape left angle (degrees),Pupil Shape left error,Pupil Shape right center x,Pupil Shape right center y,Pupil Shape right size x,Pupil Shape right size y,Pupil Shape right angle (degrees),Pupil Shape right error
,0.0207,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,-0.18174,-0.09365,0.97888,,2.55726,,-0.03150,1.00000,-5.00000,-0.26461,-0.07037,0.96178,,0.03150,1.00000,-5.00000,-0.09658,-0.11689,0.98844,,Opened,,Opened,,2.68,,2.60,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,63.16,,61.06,,11.44,Data_Uncalibrated,11.40,Data_Uncalibrated,-0.29756,-0.06513,,-0.11027,-0.11055,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,142.22,162.67,33.84,35.33,36.52,,136.33,167.30,35.67,33.89,85.58,
,0.0433,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,-0.18123,-0.09378,0.97896,,2.78305,,-0.03150,1.00000,-5.00000,-0.26428,-0.07101,0.96183,,0.03150,1.00000,-5.00000,-0.09570,-0.11634,0.98859,,Opened,,Opened,,2.65,,2.54,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,63.18,,61.05,,11.44,Data_Uncalibrated,11.40,Data_Uncalibrated,-0.29726,-0.06558,,-0.10931,-0.10998,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,141.98,162.84,33.05,35.44,29.69,,136.20,166.67,34.72,32.95,86.68,
,0.0629,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,-0.18001,-0.09405,0.97916,,19.17534,,-0.03150,1.00000,-5.00000,-0.26392,-0.07135,0.96190,,0.03150,1.00000,-5.00000,-0.09319,-0.11607,0.98886,,Opened,,Opened,,2.67,,2.56,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,63.37,,61.02,,11.44,Data_Uncalibrated,11.40,Data_Uncalibrated,-0.29691,-0.06584,,-0.10668,-0.10968,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,141.62,162.36,33.50,34.97,62.60,,136.72,166.91,35.11,33.21,87.49,
,0.0755,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,-0.18001,-0.09405,0.97916,,19.17534,,-0.03150,1.00000,-5.00000,-0.26392,-0.07135,0.96190,,0.03150,1.00000,-5.00000,-0.09319,-0.11607,0.98886,,Opened,,Opened,,2.67,,2.56,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,63.37,,61.02,,11.44,Data_Uncalibrated,11.40,Data_Uncalibrated,-0.29691,-0.06584,,-0.10668,-0.10968,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,141.62,162.36,33.50,34.97,62.60,,136.72,166.91,35.11,33.21,87.49,
,0.0895,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,-0.17543,-0.09285,0.98010,,-7.68042,,-0.03150,1.00000,-5.00000,-0.26306,-0.07108,0.96216,,0.03150,1.00000,-5.00000,-0.08352,-0.11347,0.99002,,Opened,,Opened,,2.60,,2.48,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,63.49,,60.96,,11.44,Data_Uncalibrated,11.40,Data_Uncalibrated,-0.29591,-0.06568,,-0.09702,-0.10763,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,144.59,161.89,32.72,34.10,62.91,,140.52,166.19,33.72,31.81,88.61,
,0.1021,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.00879,-0.09384,0.99555,,5.84389,,-0.03150,1.00000,-5.00000,-0.08948,-0.05280,0.99459,,0.03150,1.00000,-5.00000,0.08671,-0.13858,0.98655,,Opened,,Opened,,2.60,,2.69,,endpoint (10),,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,63.30,,60.90,,11.44,Data_Uncalibrated,11.40,Data_Uncalibrated,-0.09760,-0.04628,,0.08624,-0.13268,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,149.69,161.59,33.02,33.90,64.77,,145.02,168.81,36.62,34.76,110.80,
,0.1220,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.04221,-0.09014,0.99503,,2.75642,,-0.03150,1.00000,-5.00000,-0.03838,-0.07838,0.99618,,0.03150,1.00000,-5.00000,0.14126,-0.08979,0.98589,,Opened,,Opened,,2.72,,2.57,,endpoint (10),,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,63.17,,60.89,,11.44,Data_Uncalibrated,11.40,Data_Uncalibrated,-0.04529,-0.06862,,0.13948,-0.09073,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,152.48,162.66,34.39,35.96,155.82,,147.26,167.39,32.65,34.89,92.80,
,0.1330,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.04798,-0.08993,0.99479,,2.75642,,-0.03150,1.00000,-5.00000,-0.03167,-0.06576,0.99733,,0.03150,1.00000,-5.00000,0.14101,-0.10256,0.98468,,Opened,,Opened,,2.69,,2.62,,endpoint (10),,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,63.17,,60.89,,11.44,Data_Uncalibrated,11.40,Data_Uncalibrated,-0.03765,-0.05972,,0.14198,-0.09815,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,152.20,161.98,33.50,35.76,117.67,,147.19,168.25,34.76,34.32,118.30,
,0.1453,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.05183,-0.09126,0.99448,,2.75642,,-0.03150,1.00000,-5.00000,-0.02553,-0.07405,0.99693,,0.03150,1.00000,-5.00000,0.14081,-0.10326,0.98464,,Opened,,Opened,,2.76,,2.58,,endpoint (10),,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,63.17,,60.89,,11.44,Data_Uncalibrated,11.40,Data_Uncalibrated,-0.03133,-0.06530,,0.14232,-0.09873,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,152.38,162.93,34.70,36.64,163.09,,147.27,167.37,32.92,34.87,87.92,
,0.1592,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.05507,-0.09116,0.99431,,2.75642,,-0.03150,1.00000,-5.00000,-0.02224,-0.07381,0.99702,,0.03150,1.00000,-5.00000,0.14088,-0.10377,0.98457,,Opened,,Opened,,2.70,,2.64,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,63.17,,60.89,,11.44,Data_Uncalibrated,11.40,Data_Uncalibrated,-0.02711,-0.06528,,0.14302,-0.09932,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,152.73,162.44,33.92,35.71,149.34,,147.42,167.95,34.92,34.52,117.76,
