,Application Time,User Mark,Headset Position x,Headset Position y,Headset Position z,Headset Position error,Headset Orientation Quaternion x,Headset Orientation Quaternion y,Headset Orientation Quaternion z,Headset Orientation Quaternion w,Headset Orientation Quaternion error,Combined Gaze Ray pos x,Combined Gaze Ray pos y,Combined Gaze Ray pos z,Combined Gaze Ray dir x,Combined Gaze Ray dir y,Combined Gaze Ray dir z,Combined Gaze Ray error,Gaze Depth,Gaze Depth error,Eye Ray left pos x,Eye Ray left pos y,Eye Ray left pos z,Eye Ray left dir x,Eye Ray left dir y,Eye Ray left dir z,Eye Ray left error,Eye Ray right pos x,Eye Ray right pos y,Eye Ray right pos z,Eye Ray right dir x,Eye Ray right dir y,Eye Ray right dir z,Eye Ray right error,Eye State left,Eye State left error,Eye State right,Eye State right error,Pupil Radius (millimeters) left,Pupil Radius (millimeters) left error,Pupil Radius (millimeters) right,Pupil Radius (millimeters) right error,Gazed Object,Gazed Object error,Eye Torsion (degrees) left,Eye Torsion (degrees) left error,Eye Torsion (degrees) right,Eye Torsion (degrees) right error,User Presence,User Presence error,User Attention Shift,User Attention Shift error,IPD (millimeters),IPD (millimeters) error,IOD (millimeters),IOD (millimeters) error,Eyeball Radius (millimiters) left,Eyeball Radius (millimiters) left error,Eyeball Radius (millimiters) right,Eyeball Radius (millimiters) right error,Screen Gaze left x,Screen Gaze left y,Screen Gaze left error,Screen Gaze right x,Screen Gaze right y,Screen Gaze right error,Eye Shape left point 0 x,Eye Shape left point 0 y,Eye Shape left point 1 x,Eye Shape left point 1 y,Eye Shape left point 2 x,Eye Shape left point 2 y,Eye Shape left point 3 x,Eye Shape left point 3 y,Eye Shape left point 4 x,Eye Shape left point 4 y,Eye Shape left point 5 x,Eye Shape left point 5 y,Eye Shape left point 6 x,Eye Shape left point 6 y,Eye Shape left point 7 x,Eye Shape left point 7 y,Eye Shape left point 8 x,Eye Shape left point 8 y,Eye Shape left point 9 x,Eye Shape left point 9 y,Eye Shape left point 10 x,Eye Shape left point 10 y,Eye Shape left point 11 x,Eye Shape left point 11 y,Eye Shape left error,Eye Shape right point 0 x,Eye Shape right point 0 y,Eye Shape right point 1 x,Eye Shape right point 1 y,Eye Shape right point 2 x,Eye Shape right point 2 y,Eye Shape right point 3 x,Eye Shape right point 3 y,Eye Shape right point 4 x,Eye Shape right point 4 y,Eye Shape right point 5 x,Eye Shape right point 5 y,Eye Shape right point 6 x,Eye Shape right point 6 y,Eye Shape right point 7 x,Eye Shape right point 7 y,Eye Shape right point 8 x,Eye Shape right point 8 y,Eye Shape right point 9 x,Eye Shape right point 9 y,Eye Shape right point 10 x,Eye Shape right point 10 y,Eye Shape right point 11 x,Eye Shape right point 11 y,Eye Shape right error,Pupil Shape left center x,Pupil Shape left center y,Pupil Shape left size x,Pupil Shape left size y,Pupil Shape left angle (degrees),Pupil Shape left error,Pupil Shape right center x,Pupil Shape right center y,Pupil Shape right size x,Pupil Shape right size y,Pupil Shape right angle (degrees),Pupil Shape right error
,0.0201,,-0.03278,-0.64456,-1.51966,,0.13924,-0.00013,-0.00279,0.99025,,-0.03278,0.35544,-6.51966,0.09020,-0.46599,0.88018,Data_Unreliable,1.22386,,-0.06428,0.35562,-6.51964,0.04251,-0.48758,0.87204,,-0.00128,0.35527,-6.51967,0.13769,-0.44309,0.88584,,Opened,,Opened,,2.75,,2.59,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,62.81,,61.25,,10.21,,10.36,,0.04878,-0.21997,,0.14821,-0.17536,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,155.08,161.55,37.55,35.02,102.26,,148.75,164.89,33.38,35.31,90.98,
,0.0383,,-0.03277,-0.64466,-1.51972,,0.13944,-0.00012,-0.00271,0.99023,,-0.03277,0.35534,-6.51972,0.10373,-0.47361,0.87461,,1.53102,,-0.06427,0.35551,-6.51970,0.04809,-0.48686,0.87216,,-0.00127,0.35517,-6.51973,0.16137,-0.45960,0.87334,,Opened,,Opened,,2.74,,2.56,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,62.92,,61.22,,10.21,,10.36,,0.05484,-0.21862,,0.17502,-0.19459,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,154.92,161.39,34.94,37.25,156.79,,149.18,164.60,33.80,34.30,128.45,
,0.0611,,-0.03278,-0.64488,-1.51986,,0.13988,-0.00003,-0.00256,0.99016,,-0.03278,0.35512,-6.51986,0.10649,-0.47467,0.87370,,1.29112,,-0.06428,0.35528,-6.51984,0.04875,-0.48761,0.87170,,-0.00128,0.35496,-6.51988,0.16698,-0.46106,0.87152,,Opened,,Opened,,2.75,,2.57,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,62.84,,61.22,,10.21,,10.36,,0.05527,-0.21862,,0.18129,-0.19589,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,155.21,161.47,37.46,34.96,101.98,,149.17,164.48,33.80,34.54,129.83,
,0.0703,,-0.03276,-0.64507,-1.52013,,0.14016,0.00003,-0.00253,0.99013,,-0.03276,0.35493,-6.52013,0.10765,-0.47505,0.87335,,1.41894,,-0.06426,0.35509,-6.52011,0.04901,-0.48806,0.87143,,-0.00126,0.35477,-6.52016,0.16887,-0.46119,0.87108,,Opened,,Opened,,2.76,,2.61,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,62.89,,61.23,,10.21,,10.36,,0.05541,-0.21859,,0.18330,-0.19572,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,155.09,161.47,35.24,37.50,156.36,,149.31,164.73,34.30,35.03,129.61,
,0.0896,,-0.03273,-0.64535,-1.52048,,0.14040,0.00008,-0.00253,0.99009,,-0.03273,0.35465,-6.52048,0.10873,-0.47525,0.87311,,1.40251,,-0.06423,0.35480,-6.52045,0.04966,-0.48811,0.87137,,-0.00123,0.35449,-6.52050,0.17009,-0.46141,0.87073,,Opened,,Opened,,2.76,,2.61,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,62.88,,61.25,,10.21,,10.36,,0.05598,-0.21825,,0.18453,-0.19571,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,155.08,161.37,35.18,37.66,170.20,,149.31,164.75,34.27,35.01,129.48,
,0.1000,,-0.03273,-0.64544,-1.52041,,0.14056,0.00009,-0.00252,0.99007,,-0.03273,0.35456,-6.52041,0.11125,-0.47697,0.87185,,1.31310,,-0.06423,0.35472,-6.52038,0.05280,-0.49115,0.86948,,-0.00123,0.35441,-6.52044,0.17126,-0.46200,0.87019,,Opened,,Opened,,2.76,,2.63,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,62.85,,61.29,,10.21,,10.36,,0.05899,-0.22095,,0.18586,-0.19600,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,155.07,161.63,34.98,37.93,166.67,,149.24,164.90,34.62,35.35,143.73,
,0.1125,,-0.03273,-0.64564,-1.52053,,0.14066,0.00013,-0.00247,0.99005,,-0.03273,0.35436,-6.52053,0.11182,-0.47874,0.87081,,1.57405,,-0.06423,0.35452,-6.52050,0.05256,-0.49415,0.86779,,-0.00123,0.35421,-6.52056,0.17184,-0.46263,0.86974,,Opened,,Opened,,2.75,,2.60,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,62.93,,61.32,,10.21,,10.36,,0.05880,-0.22365,,0.18639,-0.19653,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,154.77,161.64,34.90,37.88,168.03,,149.31,165.00,34.25,34.93,129.48,
,0.1261,,-0.03278,-0.64580,-1.52061,,0.14080,0.00014,-0.00243,0.99004,,-0.03278,0.35420,-6.52061,0.11244,-0.47923,0.87046,,1.49436,,-0.06428,0.35435,-6.52058,0.05300,-0.49357,0.86809,,-0.00128,0.35405,-6.52064,0.17215,-0.46330,0.86932,,Opened,,Opened,,2.76,,2.62,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,62.91,,61.35,,10.21,,10.36,,0.05925,-0.22283,,0.18666,-0.19695,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,155.06,161.43,35.17,37.58,168.24,,149.58,164.72,34.52,35.09,116.94,
,0.1409,,-0.03276,-0.64589,-1.52055,,0.14097,0.00012,-0.00245,0.99001,,-0.03276,0.35411,-6.52055,0.11274,-0.47974,0.87014,,1.65524,,-0.06426,0.35426,-6.52052,0.05348,-0.49397,0.86783,,-0.00126,0.35396,-6.52058,0.17228,-0.46393,0.86896,,Opened,,Opened,,2.75,,2.64,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,62.95,,61.38,,10.21,,10.36,,0.05981,-0.22300,,0.18688,-0.19733,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,155.04,161.45,35.03,37.54,160.51,,149.77,164.97,34.70,35.37,129.34,
,0.1554,,-0.03278,-0.64606,-1.52076,,0.14115,0.00011,-0.00250,0.98999,,-0.03278,0.35394,-6.52076,0.11316,-0.48035,0.86975,,1.48364,,-0.06428,0.35409,-6.52073,0.05443,-0.49460,0.86741,,-0.00128,0.35378,-6.52079,0.17236,-0.46453,0.86862,,Opened,,Opened,,2.75,,2.61,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,62.90,,61.41,,10.21,,10.36,,0.06088,-0.22347,,0.18702,-0.19764,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,154.99,161.46,35.21,37.33,162.07,,149.53,164.61,34.09,35.35,110.10,
