,Application Time,User Mark,Headset Position x,Headset Position y,Headset Position z,Headset Position error,Headset Orientation Quaternion x,Headset Orientation Quaternion y,Headset Orientation Quaternion z,Headset Orientation Quaternion w,Headset Orientation Quaternion error,Combined Gaze Ray pos x,Combined Gaze Ray pos y,Combined Gaze Ray pos z,Combined Gaze Ray dir x,Combined Gaze Ray dir y,Combined Gaze Ray dir z,Combined Gaze Ray error,Gaze Depth,Gaze Depth error,Eye Ray left pos x,Eye Ray left pos y,Eye Ray left pos z,Eye Ray left dir x,Eye Ray left dir y,Eye Ray left dir z,Eye Ray left error,Eye Ray right pos x,Eye Ray right pos y,Eye Ray right pos z,Eye Ray right dir x,Eye Ray right dir y,Eye Ray right dir z,Eye Ray right error,Eye State left,Eye State left error,Eye State right,Eye State right error,Pupil Radius (millimeters) left,Pupil Radius (millimeters) left error,Pupil Radius (millimeters) right,Pupil Radius (millimeters) right error,Gazed Object,Gazed Object error,Eye Torsion (degrees) left,Eye Torsion (degrees) left error,Eye Torsion (degrees) right,Eye Torsion (degrees) right error,User Presence,User Presence error,User Attention Shift,User Attention Shift error,IPD (millimeters),IPD (millimeters) error,IOD (millimeters),IOD (millimeters) error,Eyeball Radius (millimiters) left,Eyeball Radius (millimiters) left error,Eyeball Radius (millimiters) right,Eyeball Radius (millimiters) right error,Screen Gaze left x,Screen Gaze left y,Screen Gaze left error,Screen Gaze right x,Screen Gaze right y,Screen Gaze right error,Eye Shape left point 0 x,Eye Shape left point 0 y,Eye Shape left point 1 x,Eye Shape left point 1 y,Eye Shape left point 2 x,Eye Shape left point 2 y,Eye Shape left point 3 x,Eye Shape left point 3 y,Eye Shape left point 4 x,Eye Shape left point 4 y,Eye Shape left point 5 x,Eye Shape left point 5 y,Eye Shape left point 6 x,Eye Shape left point 6 y,Eye Shape left point 7 x,Eye Shape left point 7 y,Eye Shape left point 8 x,Eye Shape left point 8 y,Eye Shape left point 9 x,Eye Shape left point 9 y,Eye Shape left point 10 x,Eye Shape left point 10 y,Eye Shape left point 11 x,Eye Shape left point 11 y,Eye Shape left error,Eye Shape right point 0 x,Eye Shape right point 0 y,Eye Shape right point 1 x,Eye Shape right point 1 y,Eye Shape right point 2 x,Eye Shape right point 2 y,Eye Shape right point 3 x,Eye Shape right point 3 y,Eye Shape right point 4 x,Eye Shape right point 4 y,Eye Shape right point 5 x,Eye Shape right point 5 y,Eye Shape right point 6 x,Eye Shape right point 6 y,Eye Shape right point 7 x,Eye Shape right point 7 y,Eye Shape right point 8 x,Eye Shape right point 8 y,Eye Shape right point 9 x,Eye Shape right point 9 y,Eye Shape right point 10 x,Eye Shape right point 10 y,Eye Shape right point 11 x,Eye Shape right point 11 y,Eye Shape right error,Pupil Shape left center x,Pupil Shape left center y,Pupil Shape left size x,Pupil Shape left size y,Pupil Shape left angle (degrees),Pupil Shape left error,Pupil Shape right center x,Pupil Shape right center y,Pupil Shape right size x,Pupil Shape right size y,Pupil Shape right angle (degrees),Pupil Shape right error
,0.0210,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.17127,-0.14418,0.97462,,0.64551,,-0.03150,1.00000,-5.00000,0.15061,-0.15194,0.97685,,0.03150,1.00000,-5.00000,0.18809,-0.14119,0.97195,,Opened,,Opened,,3.34,,3.27,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,63.20,,63.68,,13.93,Data_Uncalibrated,13.42,Data_Uncalibrated,0.16640,-0.14414,,0.21032,-0.14109,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,174.64,140.90,43.14,46.60,153.81,,171.60,167.01,43.29,47.13,153.14,
,0.0476,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.17049,-0.14542,0.97457,,0.63820,,-0.03150,1.00000,-5.00000,0.15084,-0.15182,0.97683,,0.03150,1.00000,-5.00000,0.18645,-0.14331,0.97196,,Opened,,Opened,,3.33,,3.28,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,63.19,,63.69,,13.93,Data_Uncalibrated,13.42,Data_Uncalibrated,0.16671,-0.14401,,0.20851,-0.14327,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,174.67,140.80,43.11,46.34,144.24,,171.58,166.83,43.44,47.39,150.27,
,0.0648,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.17027,-0.14566,0.97457,,0.64782,,-0.03150,1.00000,-5.00000,0.15096,-0.15144,0.97687,,0.03150,1.00000,-5.00000,0.18608,-0.14392,0.97194,,Opened,,Opened,,3.33,,3.26,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,63.21,,63.68,,13.93,Data_Uncalibrated,13.42,Data_Uncalibrated,0.16681,-0.14355,,0.20808,-0.14382,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,174.63,140.71,43.06,46.23,151.71,,171.59,166.80,43.15,46.93,147.66,
,0.0738,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.16996,-0.14595,0.97458,,0.65768,,-0.03150,1.00000,-5.00000,0.15076,-0.15142,0.97690,,0.03150,1.00000,-5.00000,0.18596,-0.14419,0.97192,,Opened,,Opened,,3.32,,3.26,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,63.22,,63.67,,13.93,Data_Uncalibrated,13.42,Data_Uncalibrated,0.16657,-0.14349,,0.20792,-0.14408,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,174.46,140.78,43.39,45.76,152.59,,171.48,166.84,43.45,46.55,148.63,
,0.0860,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.16577,-0.14655,0.97521,,0.63252,,-0.03150,1.00000,-5.00000,0.13950,-0.15038,0.97874,,0.03150,1.00000,-5.00000,0.18575,-0.14447,0.97192,,Opened,,Opened,,3.33,,3.27,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,63.18,,63.67,,13.93,Data_Uncalibrated,13.42,Data_Uncalibrated,0.15518,-0.14202,,0.20758,-0.14435,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,173.04,140.52,43.90,45.51,146.87,,169.84,166.36,43.33,47.13,149.69,
,0.1004,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.14460,-0.14909,0.97819,,0.61118,,-0.03150,1.00000,-5.00000,0.09683,-0.15185,0.98365,,0.03150,1.00000,-5.00000,0.18376,-0.14535,0.97217,,Opened,,Opened,,3.31,,3.23,,endpoint (9),,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,63.15,,63.64,,13.93,Data_Uncalibrated,13.42,Data_Uncalibrated,0.10988,-0.14207,,0.20512,-0.14516,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,170.62,140.38,43.49,45.32,147.23,,167.12,165.95,43.05,46.41,158.02,
,0.1144,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.13906,-0.14938,0.97895,,0.61116,,-0.03150,1.00000,-5.00000,0.09074,-0.15158,0.98427,,0.03150,1.00000,-5.00000,0.18188,-0.14592,0.97243,,Opened,,Opened,,3.29,,3.25,,endpoint (9),,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,63.15,,63.62,,13.93,Data_Uncalibrated,13.42,Data_Uncalibrated,0.10274,-0.14168,,0.20294,-0.14568,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,170.55,140.11,43.24,44.99,154.76,,167.01,165.64,43.22,46.52,155.50,
,0.1285,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.11626,-0.15158,0.98158,,0.59853,,-0.03150,1.00000,-5.00000,0.08768,-0.15213,0.98446,,0.03150,1.00000,-5.00000,0.13648,-0.15072,0.97911,,Opened,,Opened,,3.32,,3.24,,endpoint (9),,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,63.13,,63.62,,13.93,Data_Uncalibrated,13.42,Data_Uncalibrated,0.09907,-0.14225,,0.15417,-0.14926,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,170.86,140.28,43.58,45.53,145.81,,167.35,165.83,43.37,46.26,153.37,
,0.1429,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.10914,-0.15247,0.98226,,0.64895,,-0.03150,1.00000,-5.00000,0.08604,-0.15250,0.98455,,0.03150,1.00000,-5.00000,0.12734,-0.15206,0.98013,,Opened,,Opened,,3.26,,3.25,,endpoint (9),,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,63.21,,63.63,,13.93,Data_Uncalibrated,13.42,Data_Uncalibrated,0.09705,-0.14270,,0.14335,-0.15046,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,170.52,140.23,44.16,43.39,111.13,,167.39,165.91,43.37,46.45,153.89,
,0.1580,,0.00000,0.00000,0.00000,,0.00000,0.00000,0.00000,1.00000,,0.00000,1.00000,-5.00000,0.10516,-0.15285,0.98264,,0.58908,,-0.03150,1.00000,-5.00000,0.08464,-0.15282,0.98462,,0.03150,1.00000,-5.00000,0.12253,-0.15240,0.98069,,Opened,,Opened,,3.30,,3.25,,endpoint (9),,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,63.11,,63.65,,13.93,Data_Uncalibrated,13.42,Data_Uncalibrated,0.09538,-0.14310,,0.13776,-0.15079,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,170.67,140.34,43.52,45.26,157.11,,167.11,165.75,43.26,46.53,158.85,
