,Application Time,User Mark,Headset Position x,Headset Position y,Headset Position z,Headset Position error,Headset Orientation Quaternion x,Headset Orientation Quaternion y,Headset Orientation Quaternion z,Headset Orientation Quaternion w,Headset Orientation Quaternion error,Combined Gaze Ray pos x,Combined Gaze Ray pos y,Combined Gaze Ray pos z,Combined Gaze Ray dir x,Combined Gaze Ray dir y,Combined Gaze Ray dir z,Combined Gaze Ray error,Gaze Depth,Gaze Depth error,Eye Ray left pos x,Eye Ray left pos y,Eye Ray left pos z,Eye Ray left dir x,Eye Ray left dir y,Eye Ray left dir z,Eye Ray left error,Eye Ray right pos x,Eye Ray right pos y,Eye Ray right pos z,Eye Ray right dir x,Eye Ray right dir y,Eye Ray right dir z,Eye Ray right error,Eye State left,Eye State left error,Eye State right,Eye State right error,Pupil Radius (millimeters) left,Pupil Radius (millimeters) left error,Pupil Radius (millimeters) right,Pupil Radius (millimeters) right error,Gazed Object,Gazed Object error,Eye Torsion (degrees) left,Eye Torsion (degrees) left error,Eye Torsion (degrees) right,Eye Torsion (degrees) right error,User Presence,User Presence error,User Attention Shift,User Attention Shift error,IPD (millimeters),IPD (millimeters) error,IOD (millimeters),IOD (millimeters) error,Eyeball Radius (millimiters) left,Eyeball Radius (millimiters) left error,Eyeball Radius (millimiters) right,Eyeball Radius (millimiters) right error,Screen Gaze left x,Screen Gaze left y,Screen Gaze left error,Screen Gaze right x,Screen Gaze right y,Screen Gaze right error,Eye Shape left point 0 x,Eye Shape left point 0 y,Eye Shape left point 1 x,Eye Shape left point 1 y,Eye Shape left point 2 x,Eye Shape left point 2 y,Eye Shape left point 3 x,Eye Shape left point 3 y,Eye Shape left point 4 x,Eye Shape left point 4 y,Eye Shape left point 5 x,Eye Shape left point 5 y,Eye Shape left point 6 x,Eye Shape left point 6 y,Eye Shape left point 7 x,Eye Shape left point 7 y,Eye Shape left point 8 x,Eye Shape left point 8 y,Eye Shape left point 9 x,Eye Shape left point 9 y,Eye Shape left point 10 x,Eye Shape left point 10 y,Eye Shape left point 11 x,Eye Shape left point 11 y,Eye Shape left error,Eye Shape right point 0 x,Eye Shape right point 0 y,Eye Shape right point 1 x,Eye Shape right point 1 y,Eye Shape right point 2 x,Eye Shape right point 2 y,Eye Shape right point 3 x,Eye Shape right point 3 y,Eye Shape right point 4 x,Eye Shape right point 4 y,Eye Shape right point 5 x,Eye Shape right point 5 y,Eye Shape right point 6 x,Eye Shape right point 6 y,Eye Shape right point 7 x,Eye Shape right point 7 y,Eye Shape right point 8 x,Eye Shape right point 8 y,Eye Shape right point 9 x,Eye Shape right point 9 y,Eye Shape right point 10 x,Eye Shape right point 10 y,Eye Shape right point 11 x,Eye Shape right point 11 y,Eye Shape right error,Pupil Shape left center x,Pupil Shape left center y,Pupil Shape left size x,Pupil Shape left size y,Pupil Shape left angle (degrees),Pupil Shape left error,Pupil Shape right center x,Pupil Shape right center y,Pupil Shape right size x,Pupil Shape right size y,Pupil Shape right angle (degrees),Pupil Shape right error
,0.0226,,-0.22723,-0.61955,-1.35225,,0.04667,0.00771,0.00483,0.99887,,-0.22723,0.38045,-6.35225,-0.02424,-0.25634,0.96628,,8.08230,,-0.25872,0.38013,-6.35178,-0.03383,-0.25904,0.96528,,-0.19574,0.38078,-6.35272,-0.01362,-0.25299,0.96737,,Opened,,Opened,,3.12,,3.05,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,63.18,,63.72,,13.16,,14.59,,-0.05481,-0.15696,,-0.03017,-0.15300,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,154.64,139.57,41.34,42.98,26.54,,151.76,150.56,40.84,42.50,17.63,
,0.0518,,-0.22697,-0.61917,-1.35229,,0.04657,0.00762,0.00450,0.99888,,-0.22697,0.38083,-6.35229,-0.02053,-0.25577,0.96652,,12.18283,,-0.25847,0.38053,-6.35183,-0.03216,-0.25786,0.96565,,-0.19548,0.38114,-6.35276,-0.00783,-0.25356,0.96729,,Opened,,Opened,,3.12,,3.06,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,63.21,,63.71,,13.16,,14.59,,-0.05283,-0.15595,,-0.02709,-0.15377,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,154.50,139.55,41.39,43.09,32.61,,151.76,150.32,41.09,42.51,7.47,
,0.0757,,-0.22662,-0.61881,-1.35196,,0.04645,0.00753,0.00416,0.99888,,-0.22662,0.38119,-6.35196,-0.02000,-0.25541,0.96663,,8.74046,,-0.25812,0.38090,-6.35149,-0.03196,-0.25724,0.96582,,-0.19513,0.38147,-6.35242,-0.00718,-0.25355,0.96730,,Opened,,Opened,,3.14,,3.07,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,63.19,,63.71,,13.16,,14.59,,-0.05232,-0.15560,,-0.02570,-0.15403,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,154.62,139.45,41.69,43.25,33.22,,151.81,150.20,41.23,42.49,8.56,
,0.0824,,-0.22649,-0.61870,-1.35201,,0.04642,0.00747,0.00399,0.99889,,-0.22649,0.38130,-6.35201,-0.01996,-0.25528,0.96666,,5.84083,,-0.25798,0.38103,-6.35155,-0.03200,-0.25703,0.96587,,-0.19499,0.38157,-6.35247,-0.00710,-0.25351,0.96731,,Opened,,Opened,,3.13,,3.07,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,63.15,,63.71,,13.16,,14.59,,-0.05216,-0.15547,,-0.02532,-0.15409,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,154.80,139.37,41.58,42.90,32.70,,151.82,150.27,41.20,42.64,5.41,
,0.0961,,-0.22632,-0.61860,-1.35199,,0.04642,0.00741,0.00382,0.99889,,-0.22632,0.38140,-6.35199,-0.02017,-0.25528,0.96666,,5.84083,,-0.25781,0.38114,-6.35153,-0.03221,-0.25702,0.96587,,-0.19482,0.38166,-6.35244,-0.00730,-0.25352,0.96730,,Opened,,Opened,,3.13,,3.07,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,63.15,,63.71,,13.16,,14.59,,-0.05216,-0.15547,,-0.02532,-0.15409,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,154.80,139.37,41.58,42.90,32.70,,151.82,150.27,41.20,42.64,5.41,
,0.1107,,-0.22621,-0.61855,-1.35210,,0.04643,0.00736,0.00366,0.99889,,-0.22621,0.38145,-6.35210,-0.01279,-0.24977,0.96822,Data_Unreliable,6.18294,,-0.25771,0.38120,-6.35164,-0.02923,-0.25375,0.96683,,-0.19471,0.38170,-6.35255,0.00379,-0.24592,0.96928,,Opened,,Opened,,3.13,,3.08,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,63.16,,63.72,,13.16,,14.59,,-0.04829,-0.15246,,-0.01925,-0.15475,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,154.85,139.51,41.70,42.84,32.66,,151.92,150.24,41.38,42.73,6.55,
,0.1238,,-0.22608,-0.61850,-1.35225,,0.04643,0.00733,0.00351,0.99889,,-0.22608,0.38150,-6.35225,-0.01224,-0.24981,0.96822,,7.22992,,-0.25757,0.38126,-6.35180,-0.02926,-0.25333,0.96694,,-0.19458,0.38174,-6.35270,0.00520,-0.24654,0.96912,,Opened,,Opened,,3.14,,3.07,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,63.17,,63.72,,13.16,,14.59,,-0.04804,-0.15205,,-0.01894,-0.15456,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,154.87,139.33,41.72,43.20,23.33,,151.99,150.30,41.19,42.71,12.18,
,0.1380,,-0.22596,-0.61847,-1.35238,,0.04640,0.00729,0.00338,0.99889,,-0.22596,0.38153,-6.35238,-0.01237,-0.24975,0.96823,,6.66129,,-0.25746,0.38130,-6.35193,-0.02939,-0.25326,0.96695,,-0.19447,0.38177,-6.35283,0.00508,-0.24649,0.96913,,Opened,,Opened,,3.14,,3.08,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,63.17,,63.72,,13.16,,14.59,,-0.04804,-0.15205,,-0.01894,-0.15456,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,154.81,139.32,41.60,43.27,24.37,,151.89,150.31,41.38,42.64,0.35,
,0.1527,,-0.22582,-0.61846,-1.35244,,0.04636,0.00724,0.00323,0.99889,,-0.22582,0.38154,-6.35244,-0.01283,-0.24995,0.96817,,11.28498,,-0.25732,0.38131,-6.35200,-0.02953,-0.25316,0.96697,,-0.19432,0.38176,-6.35289,0.00339,-0.24776,0.96881,,Opened,,Opened,,3.15,,3.08,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,63.20,,63.72,,13.16,,14.59,,-0.04803,-0.15203,,-0.01894,-0.15456,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,154.66,139.36,41.79,43.45,29.42,,151.91,150.22,41.37,42.78,5.77,
,0.1667,,-0.22572,-0.61846,-1.35255,,0.04634,0.00722,0.00310,0.99889,,-0.22572,0.38154,-6.35255,-0.01290,-0.24990,0.96819,,9.57519,,-0.25722,0.38133,-6.35211,-0.02963,-0.25310,0.96699,,-0.19422,0.38176,-6.35300,0.00342,-0.24768,0.96883,,Opened,,Opened,,3.15,,3.09,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,63.19,,63.72,,13.16,,14.59,,-0.04801,-0.15201,,-0.01892,-0.15455,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,154.64,139.32,41.59,43.51,27.97,,151.85,150.25,41.54,42.70,10.57,
,0.1808,,-0.22562,-0.61852,-1.35263,,0.04632,0.00721,0.00297,0.99890,,-0.22562,0.38148,-6.35263,-0.01283,-0.24980,0.96821,,6.65808,,-0.25712,0.38127,-6.35219,-0.02946,-0.25269,0.96710,,-0.19413,0.38169,-6.35308,0.00353,-0.24765,0.96884,,Opened,,Opened,,3.14,,3.09,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,63.17,,63.73,,13.16,,14.59,,-0.04798,-0.15196,,-0.01891,-0.15454,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,154.84,139.35,41.83,43.09,26.92,,151.93,150.18,41.32,42.91,7.32,
,0.1974,,-0.22555,-0.61857,-1.35267,,0.04628,0.00722,0.00286,0.99890,,-0.22555,0.38143,-6.35267,-0.01292,-0.24979,0.96821,,5.88038,,-0.25704,0.38123,-6.35223,-0.02946,-0.25255,0.96714,,-0.19405,0.38163,-6.35312,0.00307,-0.24807,0.96874,,Opened,,Opened,,3.16,,3.08,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,63.15,,63.73,,13.16,,14.59,,-0.04792,-0.15189,,-0.01888,-0.15453,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,154.88,139.46,42.05,43.29,21.88,,151.92,150.21,41.35,42.83,7.00,
,0.2094,,-0.22547,-0.61858,-1.35273,,0.04621,0.00726,0.00276,0.99890,,-0.22547,0.38142,-6.35273,-0.01287,-0.24966,0.96825,,5.88038,,-0.25697,0.38123,-6.35228,-0.02941,-0.25241,0.96717,,-0.19398,0.38162,-6.35318,0.00312,-0.24794,0.96877,,Opened,,Opened,,3.16,,3.08,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,63.15,,63.73,,13.16,,14.59,,-0.04792,-0.15189,,-0.01888,-0.15453,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,154.88,139.46,42.05,43.29,21.88,,151.92,150.21,41.35,42.83,7.00,
,0.2285,,-0.22541,-0.61855,-1.35264,,0.04613,0.00733,0.00266,0.99890,,-0.22541,0.38145,-6.35264,-0.01296,-0.24970,0.96824,,9.76866,,-0.25690,0.38126,-6.35219,-0.02930,-0.25221,0.96723,,-0.19391,0.38164,-6.35310,0.00248,-0.24858,0.96861,,Opened,,Opened,,3.16,,3.08,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,63.20,,63.72,,13.16,,14.59,,-0.04780,-0.15176,,-0.01883,-0.15450,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,154.68,139.37,41.93,43.38,20.73,,151.87,150.27,41.36,42.81,10.07,
,0.2380,,-0.22533,-0.61854,-1.35276,,0.04607,0.00739,0.00259,0.99891,,-0.22533,0.38146,-6.35276,-0.01295,-0.24965,0.96825,,9.50167,,-0.25682,0.38128,-6.35230,-0.02920,-0.25207,0.96727,,-0.19383,0.38165,-6.35321,0.00224,-0.24873,0.96857,,Opened,,Opened,,3.17,,3.08,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,63.19,,63.72,,13.16,,14.59,,-0.04777,-0.15172,,-0.01880,-0.15449,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,154.64,139.60,42.34,43.33,26.35,,151.85,150.09,41.14,42.83,12.57,
,0.2531,,-0.22526,-0.61852,-1.35271,,0.04602,0.00745,0.00256,0.99891,,-0.22526,0.38148,-6.35271,-0.01293,-0.24962,0.96826,,8.74784,,-0.25676,0.38130,-6.35225,-0.02908,-0.25195,0.96730,,-0.19377,0.38167,-6.35317,0.00205,-0.24888,0.96853,,Opened,,Opened,,3.16,,3.08,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,63.19,,63.71,,13.16,,14.59,,-0.04773,-0.15169,,-0.01878,-0.15448,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,154.72,139.50,41.88,43.46,25.79,,151.88,150.08,41.09,42.82,10.37,
,0.2665,,-0.22521,-0.61852,-1.35252,,0.04597,0.00751,0.00255,0.99891,,-0.22521,0.38148,-6.35252,-0.01298,-0.24967,0.96824,,7.26094,,-0.25671,0.38129,-6.35205,-0.02896,-0.25184,0.96734,,-0.19371,0.38166,-6.35299,0.00168,-0.24918,0.96846,,Opened,,Opened,,3.17,,3.07,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,63.17,,63.70,,13.16,,14.59,,-0.04768,-0.15162,,-0.01873,-0.15445,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,154.70,138.84,44.04,41.41,91.18,,151.77,149.68,40.93,42.89,2.18,
,0.2826,,-0.22514,-0.61853,-1.35238,,0.04593,0.00757,0.00254,0.99891,,-0.22514,0.38147,-6.35238,-0.01190,-0.21950,0.97554,,3.01016,,-0.25664,0.38128,-6.35191,-0.02817,-0.22026,0.97503,,-0.19365,0.38165,-6.35285,0.00397,-0.21871,0.97578,,Opened,,Opened,,3.11,,3.05,,,,0.000,Data_Uncalibrated,0.000,Data_Uncalibrated,1,,0,,63.05,,63.67,,13.16,,14.59,,-0.04615,-0.12488,,-0.01315,-0.12565,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,License_FeatureAccessDenied,155.08,136.28,40.76,42.83,26.33,,151.43,147.07,40.61,42.11,5.48,
